typhoon,Catagory,cat
durian2006,Supper Typhoon,TY Cat 4
fengshen2008,Typhoon,TY Cat 3
ketsana2009,Typhoon,TY Cat 2
conson2010,Typhoon,TY Cat 1
nesat2011,Typhoon,TY Cat 4
bopha2012,Typhoon,TY Cat 5
trami2012,Tropical Storm,TY Cat 1
usagi2013,Typhoon,TY Cat 4
nari2013,Typhoon,TY Cat 3
krosa2013,Typhoon,TY Cat 3
haiyan2013,Supper Typhoon,TY Cat 5
utor2013,Typhoon,TY Cat 4
lingling2014,Tropical Depression,TS
rammasun2014,Typhoon,TY Cat 5
kalmaegi2014,Typhoon,TY Cat 1
fung-wong2014,Tropical Storm,TS
hagupit2014,Typhoon,TY Cat 5
mekkhala2015,Tropical Storm,TY Cat 1
goni2015,Typhoon,TY Cat 4
noul2015,Typhoon,TY Cat 5
mujigae2015,Tropical Storm,TY Cat 4
koppu2015,Typhoon,TY Cat 4
melor2015,Typhoon,TY Cat 4
jangmi2014,Tropical Depression,TD
td29w2015,Tropical Depression,TD
linfa2015,Tropical Depression,TY Cat 1
haima2016,Typhoon,TY Cat 5
nock-ten2016,Typhoon,TY Cat 5
sarika2016,Typhoon,TY Cat 4
tokage2016,Tropical Depression,TY Cat 1
meranti2016,Typhoon,TY Cat 5
mangkhut2018,Typhoon,TY Cat 5
yutu2018,Typhoon,TY Cat 5
maliksi2018,Typhoon,TS
phanfone2019,Typhoon,TY Cat 3
kammuri2019,Typhoon,TY Cat 4
nakri2019,Typhoon,TY Cat 1
vongfong2020,Typhoon,TY Cat 3
saudel2020,Tropical Depression,TD
molave2020,Typhoon,TY Cat 3
goni2020,Supper Typhoon,TY Cat 5
vamco2020,Typhoon,TY Cat 5
