Region;Province;Municipality_City;Mun_Code;Housing_Units
Region VII (Central Visayas);Negros Oriental;City of Bayawan (Tulong);PH184606000;25532
Region VII (Central Visayas);Negros Oriental;Bindoy (Payabon);PH184607000;8673
Region VII (Central Visayas);Negros Oriental;City of Canlaon;PH184608000;12624
Region VII (Central Visayas);Negros Oriental;Dauin;PH184609000;6500
Region VII (Central Visayas);Negros Oriental;City of Dumaguete (Capital);PH184610000;29262
Region VII (Central Visayas);Negros Oriental;City of Guihulngan;PH184611000;22324
Region VII (Central Visayas);Negros Oriental;Jimalalud;PH184612000;7100
Region VII (Central Visayas);Negros Oriental;La Libertad;PH184613000;9138
Region VII (Central Visayas);Negros Oriental;Mabinay;PH184614000;17645
Region VII (Central Visayas);Negros Oriental;Manjuyod;PH184615000;9923
Region VII (Central Visayas);Negros Oriental;Pamplona;PH184616000;8701
Region VII (Central Visayas);Negros Oriental;San Jose;PH184617000;4583
Region VII (Central Visayas);Negros Oriental;Santa Catalina;PH184618000;16712
Region VII (Central Visayas);Negros Oriental;Siaton;PH184619000;17820
Region VII (Central Visayas);Negros Oriental;Sibulan;PH184620000;13886
Region VII (Central Visayas);Negros Oriental;City of Tanjay;PH184621000;18281
Region VII (Central Visayas);Negros Oriental;Tayasan;PH184622000;8447
Region VII (Central Visayas);Negros Oriental;Valencia (Luzurriaga);PH184623000;7965
Region VII (Central Visayas);Negros Oriental;Vallehermoso;PH184624000;8496
Region VII (Central Visayas);Negros Oriental;Zamboanguita;PH184625000;6600
Region I (Ilocos Region);Ilocos Norte;Adams;PH012801000;411
Region I (Ilocos Region);Ilocos Norte;Bacarra;PH012802000;7717
Region I (Ilocos Region);Ilocos Norte;Badoc;PH012803000;7155
Region I (Ilocos Region);Ilocos Norte;Bangui;PH012804000;3534
Region I (Ilocos Region);Ilocos Norte;City of Batac;PH012805000;12348
Region I (Ilocos Region);Ilocos Norte;Burgos;PH012806000;2352
Region I (Ilocos Region);Ilocos Norte;Carasi;PH012807000;304
Region I (Ilocos Region);Ilocos Norte;Currimao;PH012808000;2658
Region I (Ilocos Region);Ilocos Norte;Dingras;PH012809000;8394
Region I (Ilocos Region);Ilocos Norte;Dumalneg;PH012810000;555
Region I (Ilocos Region);Ilocos Norte;Banna (Espiritu);PH012811000;4421
Region I (Ilocos Region);Ilocos Norte;City of Laoag (Capital);PH012812000;23229
Region I (Ilocos Region);Ilocos Norte;Marcos;PH012813000;3919
Region I (Ilocos Region);Ilocos Norte;Nueva Era;PH012814000;2038
Region I (Ilocos Region);Ilocos Norte;Pagudpud;PH012815000;5427
Region I (Ilocos Region);Ilocos Norte;Paoay;PH012816000;5436
Region I (Ilocos Region);Ilocos Norte;Pasuquin;PH012817000;6441
Region I (Ilocos Region);Ilocos Norte;Piddig;PH012818000;4866
Region I (Ilocos Region);Ilocos Norte;Pinili;PH012819000;3812
Region I (Ilocos Region);Ilocos Norte;San Nicolas;PH012820000;7846
Region I (Ilocos Region);Ilocos Norte;Sarrat;PH012821000;5594
Region I (Ilocos Region);Ilocos Norte;Solsona;PH012822000;5270
Region I (Ilocos Region);Ilocos Norte;Vintar;PH012823000;7686
Region I (Ilocos Region);Ilocos Sur;Alilem;PH012901000;1475
Region I (Ilocos Region);Ilocos Sur;Banayoyo;PH012902000;1780
Region I (Ilocos Region);Ilocos Sur;Bantay;PH012903000;7712
Region I (Ilocos Region);Ilocos Sur;Burgos;PH012904000;2740
Region I (Ilocos Region);Ilocos Sur;Cabugao;PH012905000;7894
Region I (Ilocos Region);Ilocos Sur;City of Candon;PH012906000;13414
Region I (Ilocos Region);Ilocos Sur;Caoayan;PH012907000;4318
Region I (Ilocos Region);Ilocos Sur;Cervantes;PH012908000;3671
Region I (Ilocos Region);Ilocos Sur;Galimuyod;PH012909000;2313
Region I (Ilocos Region);Ilocos Sur;Gregorio Del Pilar (Concepcion);PH012910000;905
Region I (Ilocos Region);Ilocos Sur;Lidlidda;PH012911000;996
Region I (Ilocos Region);Ilocos Sur;Magsingal;PH012912000;7166
Region I (Ilocos Region);Ilocos Sur;Nagbukel;PH012913000;1182
Region I (Ilocos Region);Ilocos Sur;Narvacan;PH012914000;9605
Region I (Ilocos Region);Ilocos Sur;Quirino (Angkaki);PH012915000;1824
Region I (Ilocos Region);Ilocos Sur;Salcedo (Baugen);PH012916000;2650
Region I (Ilocos Region);Ilocos Sur;San Emilio;PH012917000;1530
Region I (Ilocos Region);Ilocos Sur;San Esteban;PH012918000;1884
Region I (Ilocos Region);Ilocos Sur;San Ildefonso;PH012919000;1697
Region I (Ilocos Region);Ilocos Sur;San Juan (Lapog);PH012920000;6151
Region I (Ilocos Region);Ilocos Sur;San Vicente;PH012921000;2761
Region I (Ilocos Region);Ilocos Sur;Santa;PH012922000;3412
Region I (Ilocos Region);Ilocos Sur;Santa Catalina;PH012923000;2765
Region I (Ilocos Region);Ilocos Sur;Santa Cruz;PH012924000;8851
Region I (Ilocos Region);Ilocos Sur;Santa Lucia;PH012925000;5795
Region I (Ilocos Region);Ilocos Sur;Santa Maria;PH012926000;6648
Region I (Ilocos Region);Ilocos Sur;Santiago;PH012927000;4295
Region I (Ilocos Region);Ilocos Sur;Santo Domingo;PH012928000;6475
Region I (Ilocos Region);Ilocos Sur;Sigay;PH012929000;513
Region I (Ilocos Region);Ilocos Sur;Sinait;PH012930000;5872
Region I (Ilocos Region);Ilocos Sur;Sugpon;PH012931000;849
Region I (Ilocos Region);Ilocos Sur;Suyo;PH012932000;2497
Region I (Ilocos Region);Ilocos Sur;Tagudin;PH012933000;8492
Region I (Ilocos Region);Ilocos Sur;City of Vigan (Capital);PH012934000;11106
Region I (Ilocos Region);La Union;Agoo;PH013301000;13404
Region I (Ilocos Region);La Union;Aringay;PH013302000;10621
Region I (Ilocos Region);La Union;Bacnotan;PH013303000;9692
Region I (Ilocos Region);La Union;Bagulin;PH013304000;2966
Region I (Ilocos Region);La Union;Balaoan;PH013305000;8697
Region I (Ilocos Region);La Union;Bangar;PH013306000;7628
Region I (Ilocos Region);La Union;Bauang;PH013307000;16577
Region I (Ilocos Region);La Union;Burgos;PH013308000;1747
Region I (Ilocos Region);La Union;Caba;PH013309000;5070
Region I (Ilocos Region);La Union;Luna;PH013310000;8189
Region I (Ilocos Region);La Union;Naguilian;PH013311000;11874
Region I (Ilocos Region);La Union;Pugo;PH013312000;4347
Region I (Ilocos Region);La Union;Rosario;PH013313000;12009
Region I (Ilocos Region);La Union;City of San Fernando (Capital);PH013314000;27912
Region I (Ilocos Region);La Union;San Gabriel;PH013315000;3877
Region I (Ilocos Region);La Union;San Juan;PH013316000;8462
Region I (Ilocos Region);La Union;Santo Tomas;PH013317000;8114
Region I (Ilocos Region);La Union;Santol;PH013318000;2780
Region I (Ilocos Region);La Union;Sudipen;PH013319000;3758
Region I (Ilocos Region);La Union;Tubao;PH013320000;6372
Region I (Ilocos Region);Pangasinan;Agno;PH015501000;6593
Region I (Ilocos Region);Pangasinan;Aguilar;PH015502000;8591
Region I (Ilocos Region);Pangasinan;City of Alaminos;PH015503000;21410
Region I (Ilocos Region);Pangasinan;Alcala;PH015504000;10057
Region I (Ilocos Region);Pangasinan;Anda;PH015505000;9321
Region I (Ilocos Region);Pangasinan;Asingan;PH015506000;13064
Region I (Ilocos Region);Pangasinan;Balungao;PH015507000;6891
Region I (Ilocos Region);Pangasinan;Bani;PH015508000;12225
Region I (Ilocos Region);Pangasinan;Basista;PH015509000;6885
Region I (Ilocos Region);Pangasinan;Bautista;PH015510000;6860
Region I (Ilocos Region);Pangasinan;Bayambang;PH015511000;25004
Region I (Ilocos Region);Pangasinan;Binalonan;PH015512000;12655
Region I (Ilocos Region);Pangasinan;Binmaley;PH015513000;18204
Region I (Ilocos Region);Pangasinan;Bolinao;PH015514000;17601
Region I (Ilocos Region);Pangasinan;Bugallon;PH015515000;14276
Region I (Ilocos Region);Pangasinan;Burgos;PH015516000;4768
Region I (Ilocos Region);Pangasinan;Calasiao;PH015517000;21504
Region I (Ilocos Region);Pangasinan;City of Dagupan;PH015518000;35748
Region I (Ilocos Region);Pangasinan;Dasol;PH015519000;6677
Region I (Ilocos Region);Pangasinan;Infanta;PH015520000;5584
Region I (Ilocos Region);Pangasinan;Labrador;PH015521000;5473
Region I (Ilocos Region);Pangasinan;Lingayen (Capital);PH015522000;21235
Region I (Ilocos Region);Pangasinan;Mabini;PH015523000;5856
Region I (Ilocos Region);Pangasinan;Malasiqui;PH015524000;28609
Region I (Ilocos Region);Pangasinan;Manaoag;PH015525000;14633
Region I (Ilocos Region);Pangasinan;Mangaldan;PH015526000;22611
Region I (Ilocos Region);Pangasinan;Mangatarem;PH015527000;16231
Region I (Ilocos Region);Pangasinan;Mapandan;PH015528000;7596
Region I (Ilocos Region);Pangasinan;Natividad;PH015529000;5690
Region I (Ilocos Region);Pangasinan;Pozorrubio;PH015530000;15789
Region I (Ilocos Region);Pangasinan;Rosales;PH015531000;14365
Region I (Ilocos Region);Pangasinan;City of San Carlos;PH015532000;40867
Region I (Ilocos Region);Pangasinan;San Fabian;PH015533000;18991
Region I (Ilocos Region);Pangasinan;San Jacinto;PH015534000;8983
Region I (Ilocos Region);Pangasinan;San Manuel;PH015535000;11622
Region I (Ilocos Region);Pangasinan;San Nicolas;PH015536000;8133
Region I (Ilocos Region);Pangasinan;San Quintin;PH015537000;8002
Region I (Ilocos Region);Pangasinan;Santa Barbara;PH015538000;18206
Region I (Ilocos Region);Pangasinan;Santa Maria;PH015539000;7371
Region I (Ilocos Region);Pangasinan;Santo Tomas;PH015540000;3338
Region I (Ilocos Region);Pangasinan;Sison;PH015541000;10532
Region I (Ilocos Region);Pangasinan;Sual;PH015542000;7817
Region I (Ilocos Region);Pangasinan;Tayug;PH015543000;9837
Region I (Ilocos Region);Pangasinan;Umingan;PH015544000;16983
Region I (Ilocos Region);Pangasinan;Urbiztondo;PH015545000;10418
Region I (Ilocos Region);Pangasinan;City of Urdaneta;PH015546000;29630
Region I (Ilocos Region);Pangasinan;Villasis;PH015547000;14350
Region I (Ilocos Region);Pangasinan;Laoac;PH015548000;7154
Region II (Cagayan Valley);Batanes;Basco (Capital);PH020901000;2309
Region II (Cagayan Valley);Batanes;Itbayat;PH020902000;828
Region II (Cagayan Valley);Batanes;Ivana;PH020903000;357
Region II (Cagayan Valley);Batanes;Mahatao;PH020904000;443
Region II (Cagayan Valley);Batanes;Sabtang;PH020905000;418
Region II (Cagayan Valley);Batanes;Uyugan;PH020906000;354
Region II (Cagayan Valley);Cagayan;Abulug;PH021501000;7375
Region II (Cagayan Valley);Cagayan;Alcala;PH021502000;9163
Region II (Cagayan Valley);Cagayan;Allacapan;PH021503000;7535
Region II (Cagayan Valley);Cagayan;Amulung;PH021504000;10616
Region II (Cagayan Valley);Cagayan;Aparri;PH021505000;13825
Region II (Cagayan Valley);Cagayan;Baggao;PH021506000;19282
Region II (Cagayan Valley);Cagayan;Ballesteros;PH021507000;7973
Region II (Cagayan Valley);Cagayan;Buguey;PH021508000;6689
Region II (Cagayan Valley);Cagayan;Calayan;PH021509000;3883
Region II (Cagayan Valley);Cagayan;Camalaniugan;PH021510000;5383
Region II (Cagayan Valley);Cagayan;Claveria;PH021511000;6956
Region II (Cagayan Valley);Cagayan;Enrile;PH021512000;7537
Region II (Cagayan Valley);Cagayan;Gattaran;PH021513000;12549
Region II (Cagayan Valley);Cagayan;Gonzaga;PH021514000;8502
Region II (Cagayan Valley);Cagayan;Iguig;PH021515000;6070
Region II (Cagayan Valley);Cagayan;Lal-Lo;PH021516000;10143
Region II (Cagayan Valley);Cagayan;Lasam;PH021517000;8862
Region II (Cagayan Valley);Cagayan;Pamplona;PH021518000;5074
Region II (Cagayan Valley);Cagayan;PeÃƒÂ±ablanca;PH021519000;10681
Region II (Cagayan Valley);Cagayan;Piat;PH021520000;5515
Region II (Cagayan Valley);Cagayan;Rizal;PH021521000;4033
Region II (Cagayan Valley);Cagayan;Sanchez-Mira;PH021522000;5594
Region II (Cagayan Valley);Cagayan;Santa Ana;PH021523000;7723
Region II (Cagayan Valley);Cagayan;Santa Praxedes;PH021524000;980
Region II (Cagayan Valley);Cagayan;Santa Teresita;PH021525000;4282
Region II (Cagayan Valley);Cagayan;Santo NiÃƒÂ±o (Faire);PH021526000;6439
Region II (Cagayan Valley);Cagayan;Solana;PH021527000;18594
Region II (Cagayan Valley);Cagayan;Tuao;PH021528000;13540
Region II (Cagayan Valley);Cagayan;Tuguegarao City (Capital);PH021529000;32674
Region II (Cagayan Valley);Isabela;Alicia;PH023101000;16888
Region II (Cagayan Valley);Isabela;Angadanan;PH023102000;9834
Region II (Cagayan Valley);Isabela;Aurora;PH023103000;8434
Region II (Cagayan Valley);Isabela;Benito Soliven;PH023104000;6858
Region II (Cagayan Valley);Isabela;Burgos;PH023105000;5672
Region II (Cagayan Valley);Isabela;Cabagan;PH023106000;9866
Region II (Cagayan Valley);Isabela;Cabatuan;PH023107000;9036
Region II (Cagayan Valley);Isabela;City of Cauayan;PH023108000;30207
Region II (Cagayan Valley);Isabela;Cordon;PH023109000;10264
Region II (Cagayan Valley);Isabela;Dinapigue;PH023110000;1229
Region II (Cagayan Valley);Isabela;Divilacan;PH023111000;1260
Region II (Cagayan Valley);Isabela;Echague;PH023112000;18536
Region II (Cagayan Valley);Isabela;Gamu;PH023113000;6666
Region II (Cagayan Valley);Isabela;City of Ilagan (Capital);PH023114000;33887
Region II (Cagayan Valley);Isabela;Jones;PH023115000;10543
Region II (Cagayan Valley);Isabela;Luna;PH023116000;4486
Region II (Cagayan Valley);Isabela;Maconacon;PH023117000;935
Region II (Cagayan Valley);Isabela;Delfin Albano (Magsaysay);PH023118000;6554
Region II (Cagayan Valley);Isabela;Mallig;PH023119000;7588
Region II (Cagayan Valley);Isabela;Naguilian;PH023120000;7299
Region II (Cagayan Valley);Isabela;Palanan;PH023121000;3818
Region II (Cagayan Valley);Isabela;Quezon;PH023122000;5872
Region II (Cagayan Valley);Isabela;Quirino;PH023123000;6258
Region II (Cagayan Valley);Isabela;Ramon;PH023124000;13040
Region II (Cagayan Valley);Isabela;Reina Mercedes;PH023125000;5828
Region II (Cagayan Valley);Isabela;Roxas;PH023126000;14149
Region II (Cagayan Valley);Isabela;San Agustin;PH023127000;5377
Region II (Cagayan Valley);Isabela;San Guillermo;PH023128000;4595
Region II (Cagayan Valley);Isabela;San Isidro;PH023129000;5545
Region II (Cagayan Valley);Isabela;San Manuel;PH023130000;7534
Region II (Cagayan Valley);Isabela;San Mariano;PH023131000;11849
Region II (Cagayan Valley);Isabela;San Mateo;PH023132000;15353
Region II (Cagayan Valley);Isabela;San Pablo;PH023133000;5072
Region II (Cagayan Valley);Isabela;Santa Maria;PH023134000;4844
Region II (Cagayan Valley);Isabela;City of Santiago;PH023135000;30158
Region II (Cagayan Valley);Isabela;Santo Tomas;PH023136000;4903
Region II (Cagayan Valley);Isabela;Tumauini;PH023137000;14862
Region II (Cagayan Valley);Nueva Vizcaya;Ambaguio;PH025001000;3535
Region II (Cagayan Valley);Nueva Vizcaya;Aritao;PH025002000;8501
Region II (Cagayan Valley);Nueva Vizcaya;Bagabag;PH025003000;8771
Region II (Cagayan Valley);Nueva Vizcaya;Bambang;PH025004000;13272
Region II (Cagayan Valley);Nueva Vizcaya;Bayombong (Capital);PH025005000;15194
Region II (Cagayan Valley);Nueva Vizcaya;Diadi;PH025006000;4403
Region II (Cagayan Valley);Nueva Vizcaya;Dupax Del Norte;PH025007000;6597
Region II (Cagayan Valley);Nueva Vizcaya;Dupax Del Sur;PH025008000;4528
Region II (Cagayan Valley);Nueva Vizcaya;Kasibu;PH025009000;8415
Region II (Cagayan Valley);Nueva Vizcaya;Kayapa;PH025010000;5516
Region II (Cagayan Valley);Nueva Vizcaya;Quezon;PH025011000;4917
Region II (Cagayan Valley);Nueva Vizcaya;Santa Fe;PH025012000;3721
Region II (Cagayan Valley);Nueva Vizcaya;Solano;PH025013000;15236
Region II (Cagayan Valley);Nueva Vizcaya;Villaverde;PH025014000;4439
Region II (Cagayan Valley);Nueva Vizcaya;Alfonso Castaneda;PH025015000;1783
Region II (Cagayan Valley);Quirino;Aglipay;PH025701000;6540
Region II (Cagayan Valley);Quirino;Cabarroguis (Capital);PH025702000;6822
Region II (Cagayan Valley);Quirino;Diffun;PH025703000;12087
Region II (Cagayan Valley);Quirino;Maddela;PH025704000;8842
Region II (Cagayan Valley);Quirino;Saguday;PH025705000;3979
Region II (Cagayan Valley);Quirino;Nagtipunan;PH025706000;4891
Region III (Central Luzon);Bataan;Abucay;PH030801000;9256
Region III (Central Luzon);Bataan;Bagac;PH030802000;6008
Region III (Central Luzon);Bataan;City of Balanga (Capital);PH030803000;20832
Region III (Central Luzon);Bataan;Dinalupihan;PH030804000;23405
Region III (Central Luzon);Bataan;Hermosa;PH030805000;14212
Region III (Central Luzon);Bataan;Limay;PH030806000;15036
Region III (Central Luzon);Bataan;Mariveles;PH030807000;30691
Region III (Central Luzon);Bataan;Morong;PH030808000;6828
Region III (Central Luzon);Bataan;Orani;PH030809000;15288
Region III (Central Luzon);Bataan;Orion;PH030810000;11740
Region III (Central Luzon);Bataan;Pilar;PH030811000;9251
Region III (Central Luzon);Bataan;Samal;PH030812000;7605
Region III (Central Luzon);Bulacan;Angat;PH031401000;14325
Region III (Central Luzon);Bulacan;Balagtas (Bigaa);PH031402000;17046
Region III (Central Luzon);Bulacan;Baliuag;PH031403000;35488
Region III (Central Luzon);Bulacan;Bocaue;PH031404000;26062
Region III (Central Luzon);Bulacan;Bulacan;PH031405000;18019
Region III (Central Luzon);Bulacan;Bustos;PH031406000;15949
Region III (Central Luzon);Bulacan;Calumpit;PH031407000;24219
Region III (Central Luzon);Bulacan;Guiguinto;PH031408000;22769
Region III (Central Luzon);Bulacan;Hagonoy;PH031409000;28773
Region III (Central Luzon);Bulacan;City of Malolos (Capital);PH031410000;56255
Region III (Central Luzon);Bulacan;Marilao;PH031411000;51591
Region III (Central Luzon);Bulacan;City of Meycauayan;PH031412000;49919
Region III (Central Luzon);Bulacan;Norzagaray;PH031413000;24396
Region III (Central Luzon);Bulacan;Obando;PH031414000;12883
Region III (Central Luzon);Bulacan;Pandi;PH031415000;20193
Region III (Central Luzon);Bulacan;Paombong;PH031416000;11489
Region III (Central Luzon);Bulacan;Plaridel;PH031417000;24206
Region III (Central Luzon);Bulacan;Pulilan;PH031418000;22279
Region III (Central Luzon);Bulacan;San Ildefonso;PH031419000;23932
Region III (Central Luzon);Bulacan;City of San Jose Del Monte;PH031420000;123530
Region III (Central Luzon);Bulacan;San Miguel;PH031421000;33729
Region III (Central Luzon);Bulacan;San Rafael;PH031422000;22051
Region III (Central Luzon);Bulacan;Santa Maria;PH031423000;57575
Region III (Central Luzon);Bulacan;DoÃƒÂ±a Remedios Trinidad;PH031424000;5059
Region III (Central Luzon);Nueva Ecija;Aliaga;PH034901000;13940
Region III (Central Luzon);Nueva Ecija;Bongabon;PH034902000;14819
Region III (Central Luzon);Nueva Ecija;City of Cabanatuan;PH034903000;66994
Region III (Central Luzon);Nueva Ecija;Cabiao;PH034904000;16511
Region III (Central Luzon);Nueva Ecija;Carranglan;PH034905000;9588
Region III (Central Luzon);Nueva Ecija;Cuyapo;PH034906000;15003
Region III (Central Luzon);Nueva Ecija;Gabaldon (Bitulok & Sabani);PH034907000;8484
Region III (Central Luzon);Nueva Ecija;City of Gapan;PH034908000;24586
Region III (Central Luzon);Nueva Ecija;General Mamerto Natividad;PH034909000;9320
Region III (Central Luzon);Nueva Ecija;General Tinio (Papaya);PH034910000;10305
Region III (Central Luzon);Nueva Ecija;Guimba;PH034911000;28325
Region III (Central Luzon);Nueva Ecija;Jaen;PH034912000;17602
Region III (Central Luzon);Nueva Ecija;Laur;PH034913000;8522
Region III (Central Luzon);Nueva Ecija;Licab;PH034914000;6374
Region III (Central Luzon);Nueva Ecija;Llanera;PH034915000;9552
Region III (Central Luzon);Nueva Ecija;Lupao;PH034916000;9987
Region III (Central Luzon);Nueva Ecija;Science City of MuÃƒÂ±oz;PH034917000;18907
Region III (Central Luzon);Nueva Ecija;Nampicuan;PH034918000;3018
Region III (Central Luzon);Nueva Ecija;City of Palayan (Capital);PH034919000;9280
Region III (Central Luzon);Nueva Ecija;Pantabangan;PH034920000;6107
Region III (Central Luzon);Nueva Ecija;PeÃƒÂ±aranda;PH034921000;6819
Region III (Central Luzon);Nueva Ecija;Quezon;PH034922000;9443
Region III (Central Luzon);Nueva Ecija;Rizal;PH034923000;14751
Region III (Central Luzon);Nueva Ecija;San Antonio;PH034924000;17419
Region III (Central Luzon);Nueva Ecija;San Isidro;PH034925000;11312
Region III (Central Luzon);Nueva Ecija;San Jose City;PH034926000;32328
Region III (Central Luzon);Nueva Ecija;San Leonardo;PH034927000;14690
Region III (Central Luzon);Nueva Ecija;Santa Rosa;PH034928000;15659
Region III (Central Luzon);Nueva Ecija;Santo Domingo;PH034929000;14071
Region III (Central Luzon);Nueva Ecija;Talavera;PH034930000;27987
Region III (Central Luzon);Nueva Ecija;Talugtug;PH034931000;5776
Region III (Central Luzon);Nueva Ecija;Zaragoza;PH034932000;10982
Region III (Central Luzon);Pampanga;City of Angeles;PH035401000;94666
Region III (Central Luzon);Pampanga;Apalit;PH035402000;22801
Region III (Central Luzon);Pampanga;Arayat;PH035403000;27433
Region III (Central Luzon);Pampanga;Bacolor;PH035404000;9375
Region III (Central Luzon);Pampanga;Candaba;PH035405000;22428
Region III (Central Luzon);Pampanga;Floridablanca;PH035406000;28196
Region III (Central Luzon);Pampanga;Guagua;PH035407000;24964
Region III (Central Luzon);Pampanga;Lubao;PH035408000;33868
Region III (Central Luzon);Pampanga;Mabalacat City;PH035409000;55991
Region III (Central Luzon);Pampanga;Macabebe;PH035410000;15856
Region III (Central Luzon);Pampanga;Magalang;PH035411000;23821
Region III (Central Luzon);Pampanga;Masantol;PH035412000;11665
Region III (Central Luzon);Pampanga;Mexico;PH035413000;31281
Region III (Central Luzon);Pampanga;Minalin;PH035414000;9527
Region III (Central Luzon);Pampanga;Porac;PH035415000;27156
Region III (Central Luzon);Pampanga;City of San Fernando (Capital);PH035416000;66370
Region III (Central Luzon);Pampanga;San Luis;PH035417000;10865
Region III (Central Luzon);Pampanga;San Simon;PH035418000;11226
Region III (Central Luzon);Pampanga;Santa Ana;PH035419000;10636
Region III (Central Luzon);Pampanga;Santa Rita;PH035420000;8830
Region III (Central Luzon);Pampanga;Santo Tomas;PH035421000;8675
Region III (Central Luzon);Pampanga;Sasmuan (Sexmoan);PH035422000;5584
Region III (Central Luzon);Tarlac;Anao;PH036901000;2685
Region III (Central Luzon);Tarlac;Bamban;PH036902000;14739
Region III (Central Luzon);Tarlac;Camiling;PH036903000;19262
Region III (Central Luzon);Tarlac;Capas;PH036904000;30762
Region III (Central Luzon);Tarlac;Concepcion;PH036905000;32539
Region III (Central Luzon);Tarlac;Gerona;PH036906000;21157
Region III (Central Luzon);Tarlac;La Paz;PH036907000;13885
Region III (Central Luzon);Tarlac;Mayantoc;PH036908000;7456
Region III (Central Luzon);Tarlac;Moncada;PH036909000;13314
Region III (Central Luzon);Tarlac;Paniqui;PH036910000;22013
Region III (Central Luzon);Tarlac;Pura;PH036911000;5585
Region III (Central Luzon);Tarlac;Ramos;PH036912000;4710
Region III (Central Luzon);Tarlac;San Clemente;PH036913000;3017
Region III (Central Luzon);Tarlac;San Manuel;PH036914000;5645
Region III (Central Luzon);Tarlac;Santa Ignacia;PH036915000;11454
Region III (Central Luzon);Tarlac;City of Tarlac (Capital);PH036916000;74429
Region III (Central Luzon);Tarlac;Victoria;PH036917000;15035
Region III (Central Luzon);Tarlac;San Jose;PH036918000;8357
Region III (Central Luzon);Zambales;Botolan;PH037101000;13627
Region III (Central Luzon);Zambales;Cabangan;PH037102000;5966
Region III (Central Luzon);Zambales;Candelaria;PH037103000;6034
Region III (Central Luzon);Zambales;Castillejos;PH037104000;16636
Region III (Central Luzon);Zambales;Iba (Capital);PH037105000;11450
Region III (Central Luzon);Zambales;Masinloc;PH037106000;10620
Region III (Central Luzon);Zambales;City of Olongapo;PH037107000;55265
Region III (Central Luzon);Zambales;Palauig;PH037108000;7857
Region III (Central Luzon);Zambales;San Antonio;PH037109000;8572
Region III (Central Luzon);Zambales;San Felipe;PH037110000;5585
Region III (Central Luzon);Zambales;San Marcelino;PH037111000;8019
Region III (Central Luzon);Zambales;San Narciso;PH037112000;7038
Region III (Central Luzon);Zambales;Santa Cruz;PH037113000;13680
Region III (Central Luzon);Zambales;Subic;PH037114000;24760
Region III (Central Luzon);Aurora;Baler (Capital);PH037701000;8760
Region III (Central Luzon);Aurora;Casiguran;PH037702000;5684
Region III (Central Luzon);Aurora;Dilasag;PH037703000;3860
Region III (Central Luzon);Aurora;Dinalungan;PH037704000;2658
Region III (Central Luzon);Aurora;Dingalan;PH037705000;5706
Region III (Central Luzon);Aurora;Dipaculao;PH037706000;7024
Region III (Central Luzon);Aurora;Maria Aurora;PH037707000;9347
