Region;Province;Municipality_City;Mun_Code;Housing_Units
Region VI (Western Visayas);Negros Occidental;City of Bacolod (Capital);PH184501000;126516
Region VI (Western Visayas);Negros Occidental;City of Bago;PH184502000;39765
Region VI (Western Visayas);Negros Occidental;Binalbagan;PH184503000;14823
Region VI (Western Visayas);Negros Occidental;City of Cadiz;PH184504000;34947
Region VI (Western Visayas);Negros Occidental;Calatrava;PH184505000;18380
Region VI (Western Visayas);Negros Occidental;Candoni;PH184506000;4947
Region VI (Western Visayas);Negros Occidental;Cauayan;PH184507000;22604
Region VI (Western Visayas);Negros Occidental;Enrique B. Magalona (Saravia);PH184508000;14180
Region VI (Western Visayas);Negros Occidental;City of Escalante;PH184509000;21519
Region VI (Western Visayas);Negros Occidental;City of Himamaylan;PH184510000;25229
Region VI (Western Visayas);Negros Occidental;Hinigaran;PH184511000;20421
Region VI (Western Visayas);Negros Occidental;Hinoba-An (Asia);PH184512000;12368
Region VI (Western Visayas);Negros Occidental;Ilog;PH184513000;12698
Region VI (Western Visayas);Negros Occidental;Isabela;PH184514000;13332
Region VI (Western Visayas);Negros Occidental;City of Kabankalan;PH184515000;39841
Region VI (Western Visayas);Negros Occidental;City of La Carlota;PH184516000;15375
Region VI (Western Visayas);Negros Occidental;La Castellana;PH184517000;16740
Region VI (Western Visayas);Negros Occidental;Manapla;PH184518000;12254
Region VI (Western Visayas);Negros Occidental;Moises Padilla (Magallon);PH184519000;8841
Region VI (Western Visayas);Negros Occidental;Murcia;PH184520000;18227
Region VI (Western Visayas);Negros Occidental;Pontevedra;PH184521000;12008
Region VI (Western Visayas);Negros Occidental;Pulupandan;PH184522000;6267
Region VI (Western Visayas);Negros Occidental;City of Sagay;PH184523000;33246
Region VI (Western Visayas);Negros Occidental;City of San Carlos;PH184524000;30569
Region VI (Western Visayas);Negros Occidental;San Enrique;PH184525000;5557
Region VI (Western Visayas);Negros Occidental;City of Silay;PH184526000;28348
Region VI (Western Visayas);Negros Occidental;City of Sipalay;PH184527000;14783
Region VI (Western Visayas);Negros Occidental;City of Talisay;PH184528000;22840
Region VI (Western Visayas);Negros Occidental;Toboso;PH184529000;9724
Region VI (Western Visayas);Negros Occidental;Valladolid;PH184530000;8836
Region VI (Western Visayas);Negros Occidental;City of Victorias;PH184531000;19063
Region VI (Western Visayas);Negros Occidental;Salvador Benedicto;PH184532000;5862
Region VII (Central Visayas);Negros Oriental;Amlan (Ayuquitan);PH184601000;5524
Region VII (Central Visayas);Negros Oriental;Ayungon;PH184602000;10412
Region VII (Central Visayas);Negros Oriental;Bacong;PH184603000;8255
Region VII (Central Visayas);Negros Oriental;City of Bais;PH184604000;17577
Region VII (Central Visayas);Negros Oriental;Basay;PH184605000;5914
