,year,actual,predicted,typhoon
1925,,0.0,0.10682434,bopha2012
1927,,0.0,0.069317855,bopha2012
1928,,0.0,0.07518982,bopha2012
1929,,0.0,0.2944323,bopha2012
1930,,0.0,0.09874327,bopha2012
1931,,0.0,0.19962001,bopha2012
1932,,0.0,-0.16593906,bopha2012
1934,,0.0,0.25962737,bopha2012
1935,,0.0,0.080995664,bopha2012
1937,,0.0,-0.22851667,bopha2012
1941,,0.0417536534446764,0.8536331,bopha2012
1942,,0.0,0.061452534,bopha2012
1943,,0.0,-0.008380197,bopha2012
1945,,0.5025125628140703,1.7312114,bopha2012
1946,,0.8854900382370698,1.6866723,bopha2012
1949,,0.0,-0.004784252,bopha2012
1950,,0.0,0.13864294,bopha2012
1953,,0.0,0.14048131,bopha2012
1954,,0.0,0.16300881,bopha2012
1955,,0.0,0.25500602,bopha2012
1957,,0.0950419768731189,2.2920465,bopha2012
1958,,0.0,0.17614035,bopha2012
1959,,0.065556575324505,21.783766,bopha2012
1960,,0.0,-0.12218149,bopha2012
1964,,0.0,0.21263093,bopha2012
1966,,0.0,0.1289944,bopha2012
1967,,0.0,0.40001366,bopha2012
1971,,0.0,-0.01455809,bopha2012
1972,,0.3742981908920773,5.559033,bopha2012
1974,,0.0060591371788657,0.4232367,bopha2012
1975,,0.0,0.1476209,bopha2012
1976,,0.0,0.029203024,bopha2012
1977,,0.0,0.07415964,bopha2012
1978,,0.0,-0.101695836,bopha2012
1980,,0.0072992700729927,12.606991,bopha2012
1981,,0.0,0.050746,bopha2012
1982,,0.0,0.21754251,bopha2012
1984,,0.0,0.47058314,bopha2012
1986,,0.0,0.17018057,bopha2012
1987,,0.1763322884012539,2.9088285,bopha2012
1988,,0.3354096789650215,0.59227103,bopha2012
1989,,0.0336587007741501,0.51754063,bopha2012
1991,,0.1707317073170731,1.804035,bopha2012
1992,,0.0,0.25514027,bopha2012
1994,,0.0,0.08374389,bopha2012
1995,,52.04012368956935,47.869987,bopha2012
1996,,0.0,-0.0714608,bopha2012
1997,,0.0,-0.0115414485,bopha2012
1998,,0.0,0.11809293,bopha2012
1999,,0.0,-0.16948996,bopha2012
2000,,0.0,0.08230519,bopha2012
2003,,0.0,0.25077406,bopha2012
2004,,0.0,0.39240178,bopha2012
2005,,0.0,-0.09874217,bopha2012
2006,,0.0,0.17134595,bopha2012
2007,,0.1562093204894558,15.715402,bopha2012
2010,,0.1262626262626262,0.23764761,bopha2012
2012,,0.0445831475702184,1.5788468,bopha2012
2013,,0.0,0.029493943,bopha2012
2015,,0.0,0.19010471,bopha2012
2016,,0.0,0.08240377,bopha2012
2017,,0.0,0.2775102,bopha2012
2018,,0.0,0.038125105,bopha2012
2020,,0.0,0.3942048,bopha2012
2021,,0.0,0.3237587,bopha2012
2023,,0.0131095962244362,0.32565162,bopha2012
2024,,0.0,0.23257601,bopha2012
2025,,0.0,0.29726514,bopha2012
