YYYYMMDDHH,LAT,LON,VMAX,STORMNAME
201911160000,23.8,143.2,78.20784,KALMAEGI
201911161200,25.3,145.8,78.20784,KALMAEGI
201911170000,25.8,148.8,78.20784,KALMAEGI
201911171200,25.4,150.2,60.82832,KALMAEGI
201911180000,24.8,150.4,52.13856,KALMAEGI
201911190000,24.5,147.9,34.75904,KALMAEGI
