id,adm3_en,adm3_pcode,glat,glon
"36358",Maigo,PH103512000,8.150,123.950
"36359",Maigo,PH103512000,8.100,123.950
"36619",Maigo,PH103512000,8.100,124.000
"37398",Matungao,PH103513000,8.150,124.150
"36879",Munai,PH103514000,8.100,124.050
"36880",Munai,PH103514000,8.050,124.050
"36881",Munai,PH103514000,8.000,124.050
"37140",Munai,PH103514000,8.050,124.100
"37141",Munai,PH103514000,8.000,124.100
"35806",Maribojoc,PH071232000,9.750,123.850
"36066",Maribojoc,PH071232000,9.750,123.900
"19000",Marcos,PH012813000,18.050,120.650
"19261",Marcos,PH012813000,18.000,120.700
"19521",Marcos,PH012813000,18.000,120.750
"18743",Nueva Era,PH012814000,17.900,120.600
"18744",Nueva Era,PH012814000,17.850,120.600
"19003",Nueva Era,PH012814000,17.900,120.650
"19004",Nueva Era,PH012814000,17.850,120.650
"19263",Nueva Era,PH012814000,17.900,120.700
"19264",Nueva Era,PH012814000,17.850,120.700
"19522",Nueva Era,PH012814000,17.950,120.750
"19781",Nueva Era,PH012814000,18.000,120.800
"19782",Nueva Era,PH012814000,17.950,120.800
"20039",Nueva Era,PH012814000,18.100,120.850
"20040",Nueva Era,PH012814000,18.050,120.850
"20041",Nueva Era,PH012814000,18.000,120.850
"20298",Nueva Era,PH012814000,18.150,120.900
"20299",Nueva Era,PH012814000,18.100,120.900
"20300",Nueva Era,PH012814000,18.050,120.900
"20301",Nueva Era,PH012814000,18.000,120.900
"20557",Nueva Era,PH012814000,18.200,120.950
"20558",Nueva Era,PH012814000,18.150,120.950
"19769",Pagudpud,PH012815000,18.600,120.800
"19770",Pagudpud,PH012815000,18.550,120.800
"20029",Pagudpud,PH012815000,18.600,120.850
"20030",Pagudpud,PH012815000,18.550,120.850
"20031",Pagudpud,PH012815000,18.500,120.850
"20290",Pagudpud,PH012815000,18.550,120.900
"20550",Pagudpud,PH012815000,18.550,120.950
"18219",Paoay,PH012816000,18.100,120.500
"18220",Paoay,PH012816000,18.050,120.500
"18479",Paoay,PH012816000,18.100,120.550
"18732",Pasuquin,PH012817000,18.450,120.600
"18733",Pasuquin,PH012817000,18.400,120.600
"18734",Pasuquin,PH012817000,18.350,120.600
"18735",Pasuquin,PH012817000,18.300,120.600
"18993",Pasuquin,PH012817000,18.400,120.650
"18994",Pasuquin,PH012817000,18.350,120.650
"18995",Pasuquin,PH012817000,18.300,120.650
"19253",Pasuquin,PH012817000,18.400,120.700
"19254",Pasuquin,PH012817000,18.350,120.700
"19020",Cervantes,PH012908000,17.050,120.650
"19021",Cervantes,PH012908000,17.000,120.650
