,adm3_pcode,storm_id,value_count,v_max,dis_track_min,typhoon
0,PH012801000,290,33,64.38749948037932,31.395541084663357,goni
1,PH012801000,291,35,36.7177985055939,102.33694347593458,goni
2,PH012801000,2910,35,67.17802463583426,12.080203657463853,goni
3,PH012801000,29100,35,55.49070881154665,55.49999999998391,goni
4,PH012801000,2911,30,24.79391348091905,158.18559443219814,goni
5,PH012801000,2912,30,36.9610760047078,102.336943475944,goni
6,PH012801000,2913,35,37.40930914417198,96.92658304099034,goni
7,PH012801000,2914,30,36.451760833908494,102.336943475944,goni
8,PH012801000,2915,40,65.17322711609103,34.738129940678135,goni
9,PH012801000,2916,40,68.8697438544355,17.58398754981848,goni
10,PH012801000,2917,35,59.485909726949096,22.200000000001104,goni
11,PH012801000,2918,25,19.326050917505352,204.0710170504277,goni
12,PH012801000,2919,33,32.728730050306176,103.68255639210214,goni
13,PH012801000,292,35,53.10700787577716,55.50000000000079,goni
14,PH012801000,2920,35,36.95305484868373,98.11042514421511,goni
15,PH012801000,2921,35,64.39849454926275,31.395541084663357,goni
16,PH012801000,2922,30,35.808707808955965,105.30384608359805,goni
17,PH012801000,2923,30,47.901448249882776,60.76697889923432,goni
18,PH012801000,2924,40,35.375158670715095,104.31186891431959,goni
19,PH012801000,2925,30,30.80089753719222,123.02322116193129,goni
20,PH012801000,2926,25,19.21355192607564,206.90326740584464,goni
21,PH012801000,2927,40,44.73712493711913,79.64017644991746,goni
22,PH012801000,2928,30,62.28411285795041,31.612183371543708,goni
23,PH012801000,2929,30,59.5879328414152,31.439605850854782,goni
24,PH012801000,293,35,67.84770589123049,22.199999999999132,goni
25,PH012801000,2930,29,36.404742140393694,99.28141820097831,goni
26,PH012801000,2931,33,37.251450003483036,91.15034708014532,goni
27,PH012801000,2932,30,36.79815508751661,99.89999999999905,goni
28,PH012801000,2933,35,41.267935643207316,80.62647110664076,goni
29,PH012801000,2934,25,28.132863301590845,140.40512811146743,goni
30,PH012801000,2935,35,39.66625053299515,92.63371026873371,goni
31,PH012801000,2936,30,50.86924146357026,55.50000000000079,goni
32,PH012801000,2937,40,65.04921259097053,31.395541084663357,goni
33,PH012801000,2938,35,50.77719753781041,55.49999999998518,goni
34,PH012801000,2939,30,43.0323940347121,84.53508147507951,goni
35,PH012801000,294,30,45.842291119420096,77.12537330776927,goni
36,PH012801000,2940,31,61.966774546799364,26.4330238578279,goni
37,PH012801000,2941,35,59.574409966855036,49.65787260107787,goni
38,PH012801000,2942,35,36.168736918520736,104.18827765390705,goni
39,PH012801000,2943,35,60.77072235978156,16.86187825849881,goni
40,PH012801000,2944,30,70.27295107936412,28.827680173003685,goni
41,PH012801000,2945,35,72.17041143390755,11.099999999998975,goni
42,PH012801000,2946,30,68.81097816516683,34.92973234695659,goni
43,PH012801000,2947,36,30.838231357545183,124.10177275123286,goni
44,PH012801000,2948,31,65.3926868989575,22.1999999999735,goni
45,PH012801000,2949,40,59.396630983330574,33.49133059587895,goni
46,PH012801000,295,35,37.37229679976391,93.03495310904106,goni
47,PH012801000,2950,35,50.902006539951415,62.79108216934707,goni
48,PH012801000,296,35,43.60101837246985,80.80921977100564,goni
49,PH012801000,297,37,59.35561415794081,36.95058191851245,goni
50,PH012801000,298,35,66.29726226236286,38.76659987102902,goni
51,PH012801000,299,32,61.505970613539986,40.02161915762985,goni
52,PH012802000,290,6,44.77786668145544,12.410177275145347,goni
53,PH012802000,291,6,47.43721840035345,69.54130067807456,goni
54,PH012802000,2910,7,58.6294550187479,25.948077909529733,goni
55,PH012802000,29100,7,70.79968121070367,27.749999999998817,goni
56,PH012802000,2911,6,20.26258828961456,194.5668843868374,goni
57,PH012802000,2912,6,42.95222688029059,83.98674002484132,goni
58,PH012802000,2913,7,28.229514312722547,140.07566705178914,goni
59,PH012802000,2914,6,42.74047903431254,83.98674002484132,goni
60,PH012802000,2915,6,40.54876667682248,9.004265910527698,goni
61,PH012802000,2916,8,61.51055325450351,33.75933204313479,goni
62,PH012802000,2917,6,48.79170507092272,60.032428736489614,goni
63,PH012802000,2918,5,22.316943783508925,177.68669758875512,goni
64,PH012802000,2919,6,24.783933522057314,143.97945165891943,goni
65,PH012802000,292,7,39.66375736848509,89.66299403879925,goni
66,PH012802000,2920,7,48.224412079753954,69.54130067807456,goni
67,PH012802000,2921,7,43.46532074498139,12.410177275145347,goni
68,PH012802000,2922,6,43.004550934644044,83.24999999999882,goni
69,PH012802000,2923,7,37.84983987017824,83.9867400248376,goni
70,PH012802000,2924,7,45.68452109391069,75.48816132346788,goni
71,PH012802000,2925,7,37.88343013704279,98.18952337187933,goni
72,PH012802000,2926,4,15.529604345941365,248.5136062673533,goni
73,PH012802000,2927,7,57.43422093691955,49.01552625665742,goni
74,PH012802000,2928,6,51.515989337418794,43.799161668239115,goni
75,PH012802000,2929,6,40.671039466383476,72.9988527307081,goni
76,PH012802000,293,7,61.280212344893975,33.75933204317796,goni
77,PH012802000,2930,6,45.83707976911392,72.99885273070561,goni
78,PH012802000,2931,7,30.13796811354864,117.07737825899956,goni
79,PH012802000,2932,7,43.71191841940042,79.74193844714497,goni
80,PH012802000,2933,7,30.56763891613267,120.32166933781853,goni
81,PH012802000,2934,6,32.92012054434477,117.07737825899264,goni
82,PH012802000,2935,8,46.41389595513403,73.24961848566933,goni
83,PH012802000,2936,6,37.54949708864277,89.66299403879925,goni
84,PH012802000,2937,7,46.32839780898747,12.410177275145347,goni
85,PH012802000,2938,7,40.25500327891528,72.15000000000103,goni
