,adm3_pcode,storm_id,value_count,v_max,dis_track_min,typhoon
0,PH012801000,300,35,48.53664007924772,62.791082169347355,goni
1,PH012801000,301,30,46.7448906722497,52.358595282927226,goni
2,PH012801000,3010,35,34.909098615826544,107.58257035849105,goni
3,PH012801000,30100,37,51.382013296548564,63.76680657390762,goni
4,PH012801000,3011,45,63.02930185853246,30.400359822048316,goni
5,PH012801000,3012,30,24.748776820372502,161.56612034131436,goni
6,PH012801000,3013,32,33.637566556225195,114.28149456494185,goni
7,PH012801000,3014,40,45.8313881210458,15.064590959349166,goni
8,PH012801000,3015,30,25.594344373367807,133.31557485905563,goni
9,PH012801000,3016,34,24.34487892308799,162.39076143525241,goni
10,PH012801000,3017,35,55.45730442764101,32.36178301641237,goni
11,PH012801000,3018,31,42.04175590632629,6.238564285496696,goni
12,PH012801000,3019,35,52.87853048808639,33.890579386511185,goni
13,PH012801000,302,40,41.72742744477892,84.53508147507914,goni
14,PH012801000,3020,30,35.20054597119284,109.88439379636985,goni
15,PH012801000,3021,35,61.535830048484044,35.10128202784432,goni
16,PH012801000,3022,30,23.71043897954108,172.16496213333068,goni
17,PH012801000,3023,30,36.074441642629374,102.33694347594437,goni
18,PH012801000,3024,25,31.578435799719728,126.55947218598924,goni
19,PH012801000,3025,35,34.82490647013332,109.88439379637013,goni
20,PH012801000,3026,40,29.398046063247318,135.23331610659085,goni
21,PH012801000,3027,30,26.574797472960384,153.38003728240815,goni
22,PH012801000,3028,35,45.704411974269775,55.776809697224365,goni
23,PH012801000,3029,41,37.598506338701505,94.83844157301515,goni
24,PH012801000,303,28,39.346563799840396,98.30398394710896,goni
25,PH012801000,3030,30,30.464931496415936,129.92216900897847,goni
26,PH012801000,3031,30,26.159855319100743,157.76064147940835,goni
27,PH012801000,3032,35,52.21486236271962,42.63378652148998,goni
28,PH012801000,3033,35,46.24543724136609,71.07467903548832,goni
29,PH012801000,3034,40,47.32152049690423,16.722463102965143,goni
30,PH012801000,3035,25,19.953917645742035,191.69606803480366,goni
31,PH012801000,3036,35,30.02323807069088,129.44713206555167,goni
32,PH012801000,3037,49,47.321536765309226,12.410177275135824,goni
33,PH012801000,3038,30,24.17221074714644,169.07016295016834,goni
34,PH012801000,3039,30,31.308852210453693,124.10177275123326,goni
35,PH012801000,304,27,18.09763329324184,196.14362722251335,goni
36,PH012801000,3040,36,55.24137705124047,31.395541084663357,goni
37,PH012801000,3041,35,60.206807563952374,35.10128202784593,goni
38,PH012801000,3042,30,52.13258975478522,55.49999999998485,goni
39,PH012801000,3043,35,28.78612440923379,137.23491527620655,goni
40,PH012801000,3044,35,47.9453264989975,53.76641092668934,goni
41,PH012801000,3045,28,20.32559931197636,200.10809578824197,goni
42,PH012801000,3046,35,57.200505295957534,27.943190305661286,goni
43,PH012801000,3047,30,44.04459613738686,77.69999999999874,goni
44,PH012801000,3048,35,53.86139054039471,50.6427141686628,goni
45,PH012801000,3049,35,55.59744937663233,45.76647244433029,goni
46,PH012801000,305,42,56.533236329451064,46.14247362054265,goni
47,PH012801000,3050,33,31.17998151837555,124.10177275123247,goni
48,PH012801000,306,35,51.93485444340798,56.59911660088428,goni
49,PH012801000,307,40,50.37848785521067,36.58737741186397,goni
50,PH012801000,308,30,31.623383280927133,124.4057810445646,goni
51,PH012801000,309,40,61.58595076294445,32.535205141096256,goni
52,PH012802000,300,7,51.15998880388134,29.887664679586962,goni
53,PH012802000,301,6,34.07157558495855,92.31993019077974,goni
54,PH012802000,3010,7,43.8105357616469,79.46390690117249,goni
55,PH012802000,30100,8,57.11425222025348,49.63920572349273,goni
56,PH012802000,3011,8,47.95522082682971,20.010809578813394,goni
57,PH012802000,3012,6,30.423187516901024,130.98470330536927,goni
58,PH012802000,3013,6,40.91386977238898,86.15916956423557,goni
59,PH012802000,3014,7,47.08897261717706,51.16847173796299,goni
60,PH012802000,3015,5,20.854005704990755,166.9618594170608,goni
61,PH012802000,3016,7,27.251286534663162,145.68089270730655,goni
62,PH012802000,3017,7,48.20809180534746,34.55960842479623,goni
63,PH012802000,3018,7,46.56779446119145,48.27956715031147,goni
64,PH012802000,3019,7,40.44005352192519,71.18587657945554,goni
65,PH012802000,302,8,49.7738192600719,61.049999999998896,goni
66,PH012802000,3020,6,45.28816694921403,75.48816132346603,goni
67,PH012802000,3021,7,38.57378655169703,5.550000000001656,goni
68,PH012802000,3022,7,28.605375670684637,140.0756670517618,goni
69,PH012802000,3023,7,41.088760319744964,83.98674002484172,goni
70,PH012802000,3024,6,39.67152006269912,94.34999999998885,goni
71,PH012802000,3025,7,44.75867849764053,75.48816132346636,goni
72,PH012802000,3026,8,33.70487851951596,113.87647913417491,goni
73,PH012802000,3027,7,30.8865641553279,128.5450962210338,goni
74,PH012802000,3028,7,33.88944993831442,94.35000000001249,goni
75,PH012802000,3029,8,44.31502806948469,72.14999999999866,goni
76,PH012802000,303,6,51.29247508350295,65.51089862723636,goni
77,PH012802000,3030,6,35.88059754163583,106.03260111870891,goni
78,PH012802000,3031,7,32.193627933243064,124.72073805104112,goni
79,PH012802000,3032,7,42.94434773368324,61.15933188676874,goni
80,PH012802000,3033,6,55.1701799503582,40.404609885499276,goni
81,PH012802000,3034,8,45.91838421945792,47.312999591910554,goni
82,PH012802000,3035,4,16.232247369264705,233.43012337743775,goni
83,PH012802000,3036,8,36.14998752745599,100.05404789411675,goni
84,PH012802000,3037,9,45.81418294800297,58.997309260695275,goni
85,PH012802000,3038,7,28.244133718033734,142.6900574672187,goni
