"","task.id","learner.id","iter","mae"
"78","hagupit2014","xgboost.tuned",3,6.11592572438706
"79","hagupit2014","xgboost.tuned",4,5.44410584348413
"80","hagupit2014","xgboost.tuned",5,5.19586784048461
"81","haima2016","ranger.tuned",1,5.25755345488697
"82","haima2016","ranger.tuned",2,5.02040061999312
"83","haima2016","ranger.tuned",3,5.84837570914659
"84","haima2016","ranger.tuned",4,5.61829859649536
"85","haima2016","ranger.tuned",5,5.71593519861931
"86","haima2016","xgboost.tuned",1,4.89953689253264
"87","haima2016","xgboost.tuned",2,5.37636254353054
"88","haima2016","xgboost.tuned",3,5.52780771257399
"89","haima2016","xgboost.tuned",4,5.58154584605088
"90","haima2016","xgboost.tuned",5,5.71129995414608
"91","haiyan2013","ranger.tuned",1,4.83590733934567
"92","haiyan2013","ranger.tuned",2,5.27299145774749
"93","haiyan2013","ranger.tuned",3,4.45579207906607
"94","haiyan2013","ranger.tuned",4,5.06982523814723
"95","haiyan2013","ranger.tuned",5,3.83318504183102
"96","haiyan2013","xgboost.tuned",1,5.52744264938065
"97","haiyan2013","xgboost.tuned",2,4.96470499635159
"98","haiyan2013","xgboost.tuned",3,4.25566320645577
"99","haiyan2013","xgboost.tuned",4,4.86893251183509
"100","haiyan2013","xgboost.tuned",5,3.85670921403264
"101","jangmi2014","ranger.tuned",1,6.1426534905527
"102","jangmi2014","ranger.tuned",2,5.31409777440801
"103","jangmi2014","ranger.tuned",3,5.05057486542512
"104","jangmi2014","ranger.tuned",4,4.62046277227678
"105","jangmi2014","ranger.tuned",5,5.8460506260356
"106","jangmi2014","xgboost.tuned",1,6.46900948756844
"107","jangmi2014","xgboost.tuned",2,5.53352441878569
"108","jangmi2014","xgboost.tuned",3,5.22503084280152
"109","jangmi2014","xgboost.tuned",4,4.33705765282071
"110","jangmi2014","xgboost.tuned",5,5.83318779741931
"111","kalmaegi2014","ranger.tuned",1,5.17343662277317
"112","kalmaegi2014","ranger.tuned",2,5.50646977552364
"113","kalmaegi2014","ranger.tuned",3,5.12698692608585
"114","kalmaegi2014","ranger.tuned",4,6.27173099671603
"115","kalmaegi2014","ranger.tuned",5,4.60438981086331
"116","kalmaegi2014","xgboost.tuned",1,5.05045177287925
"117","kalmaegi2014","xgboost.tuned",2,5.5530928150287
"118","kalmaegi2014","xgboost.tuned",3,5.04232273978413
"119","kalmaegi2014","xgboost.tuned",4,5.81620224075247
"120","kalmaegi2014","xgboost.tuned",5,4.49951431567506
"121","kammuri2019","ranger.tuned",1,4.90652931548384
