"","GEN_mun_code","impact","impact_threshold_passed","WEA_dist_track"
"1","PH036904000",0.685661363531068,1,4.7864899482637
"2","PH037705000",1.25306617927496,1,5.29808535013066
"3","PH036902000",0.54524457603458,1,9.60015491283954
"4","PH035409000",0.432764201520991,1,14.2398963782135
"5","PH045632000",1.91556848673102,1,17.9720819173629
"6","PH036905000",0.506688242822087,1,18.8993548594402
"7","PH035401000",0.472766072881241,1,19.477966419453
"8","PH036916000",0.63443417575942,1,20.4694851699411
"9","PH036918000",0.713799802550433,1,20.5157036932017
"10","PH045606000",2.14417888251542,1,20.8918415439512
"11","PH034910000",0.545407971553158,1,21.9127798099878
"12","PH035411000",0.489360695077156,1,22.5356001924636
"13","PH035415000",0.436810794070249,1,25.5411210403961
"14","PH031424000",1.45925485847781,1,26.8799827936904
"15","PH036907000",0.488231185865815,1,27.5686257170482
"16","PH036915000",0.568245398851999,1,28.5558845582731
"17","PH036906000",0.551997884067853,1,30.8126706916296
"18","PH045631000",4.86778151865997,1,31.1858000614236
"19","PH036908000",0.557653788362359,1,31.7844810808269
"20","PH034907000",2.97429297367507,1,32.5421288732541
"21","PH037101000",0.731487657173297,1,33.13886647385
"22","PH035413000",0.505757114332125,1,33.4968902452825
"23","PH035403000",0.593464336443128,1,33.9000751420544
"24","PH034924000",0.571263582608449,1,33.9092526735753
"25","PH045636000",6.34657269299846,1,33.9552002304323
"26","PH035416000",0.556813389711981,1,33.9902132509061
"27","PH036917000",0.661357725155847,1,34.3387744339848
"28","PH034932000",1.17590055786396,1,35.3145102174888
"29","PH035404000",0.568828877118216,1,35.5332188581581
"30","PH045621000",5.7279633023419,1,35.7545911426189
"31","PH035420000",0.634415867197782,1,36.4437768926867
"32","PH036911000",0.869709863677216,1,36.7482311838183
"33","PH034914000",1.0654200828047,1,37.3057844955731
"34","PH035419000",0.741844038193737,1,37.767383593644
"35","PH036910000",0.808917905529838,1,37.8764917942283
"36","PH045617000",4.66025461002195,1,38.8639706634587
"37","PH035406000",1.11899224340628,1,38.9680549561648
"38","PH034904000",0.585735248542087,1,39.5906643466101
"39","PH035407000",0.512488577084147,1,39.7372004418276
"40","PH037111000",0.618563582297565,1,40.1363442733471
"41","PH036903000",0.662000607189353,1,40.3074097469658
"42","PH031421000",1.79535208749968,1,40.396295000675
"43","PH036913000",0.786643813913937,1,41.5393738236571
"44","PH036912000",1.0581770258143,1,41.5693520764006
"45","PH034913000",2.16090079366308,1,41.570653879619
"46","PH034908000",1.48132471044338,1,41.7441582999154
"47","PH034912000",0.824977060316912,1,41.8367530503124
"48","PH034919000",2.14521687400985,1,41.9909271293055
"49","PH051608000",2.24269927147601,1,42.0245860245852
"50","PH037105000",0.698841016467603,1,42.3002281788339
"51","PH034921000",1.84652362390384,1,42.5637957560272
"52","PH051612000",3.57453216928091,1,43.4366888925727
"53","PH035421000",0.625915304737379,1,43.8438119912731
"54","PH037708000",2.85633623013216,1,43.8689563391963
"55","PH051605000",2.16337529884088,1,43.9196599759726
"56","PH031413000",0.82956207060642,1,44.2102408705266
"57","PH037102000",0.963584466193721,1,44.2782811866527
"58","PH051735000",4.0339032392193,1,44.4079538334871
"59","PH034922000",0.716770469715475,1,44.7908960475399
"60","PH034901000",0.604070974255596,1,44.9364267624914
"61","PH036909000",0.599678757458417,1,45.6976552652134
"62","PH031419000",1.12095899179315,1,45.920288703994
"63","PH034925000",0.750607548275251,1,46.163705187247
"64","PH037108000",0.856807243742084,1,46.3216220960969
"65","PH034911000",0.684108015007355,1,46.3274748715524
"66","PH035414000",0.455094596761588,1,46.5588745525858
"67","PH034918000",0.948082928045249,1,47.2292596729347
"68","PH036901000",0.978968620862722,1,47.2713835792938
"69","PH035417000",0.4788825078681,1,47.9256531764276
"70","PH035405000",0.55859822044001,1,48.3712627361976
"71","PH035408000",0.791962109165425,1,48.4503373569668
"72","PH035418000",0.450526330571797,1,48.9601090266834
"73","PH034927000",1.06748143615955,1,49.0650749421859
"74","PH037110000",0.770745511740033,1,49.1445409044464
"75","PH051611000",1.44908595184904,1,49.6676515640105
"76","PH037106000",0.688969747540145,1,50.3496253442261
"77","PH015527000",0.550483018272964,1,50.4176578950429
"78","PH051603000",0.876374986310622,1,50.5499153901701
"79","PH030804000",0.566320536726994,1,50.6799676115577
"80","PH034928000",0.855233790945226,1,51.0519790200114
"81","PH035422000",1.18700438794386,1,51.4338502687043
"82","PH034902000",0.669866089097612,1,51.4796464175889
"83","PH015511000",0.480397103556381,1,51.532641166264
"84","PH034903000",0.824461254692353,1,51.7542048776613
"85","PH035402000",0.417384669447463,1,52.0324118218254
"86","PH031422000",0.655877551019465,1,52.2197831556111
"87","PH051602000",2.4778328698493,1,52.2694053976272
"88","PH015510000",0.665009265673328,1,52.2787370588485
"89","PH031401000",0.653456584394994,1,52.5669663897628
"90","PH034929000",0.839011496021991,1,52.7677341378455
"91","PH045808000",0.580800450503451,1,53.4697791409989
"92","PH037112000",0.799946235060778,1,53.5665370637417
"93","PH037104000",0.459735101307178,1,53.9950838015454
"94","PH035410000",0.721708504066705,1,54.2735848379496
"95","PH034909000",0.885774466482058,1,54.3733074848832
"96","PH037103000",0.964121631225947,1,54.930650884894
"97","PH037114000",0.511120523307636,1,55.2327317825385
"98","PH036914000",0.710714310262685,1,55.3844847404195
"99","PH051607000",1.08986504061688,1,55.6680120187009
