YYYYMMDDHH,LAT,LON,VMAX,Gust,STORMNAME
202010271200,16.1,141.2,30,45,GONI
202010271500,16.2,141.1,30,45,GONI
202010271800,16.2,140.7,30,45,GONI
202010272100,16.2,140.5,30,45,GONI
202010280000,16.4,140,30,45,GONI
202010280300,16.4,139.5,30,45,GONI
202010280600,16.4,139,30,45,GONI
202010280900,16.5,138.7,30,45,GONI
202010281200,16.6,138.5,30,45,GONI
202010281500,16.5,138.3,30,45,GONI
202010281800,16.7,138.1,35,50,GONI
202010282100,16.6,137,35,50,GONI
202010290000,16.6,136.9,35,50,GONI
202010290300,16.6,136.4,40,60,GONI
202010290600,16.8,136.1,40,60,GONI
202010290900,16.8,135.3,45,65,GONI
202010291200,16.7,134.6,60,85,GONI
202010291500,16.5,134,65,95,GONI
202010291800,16.4,133.4,70,100,GONI
202010292100,16.3,133,75,105,GONI
202010300000,16.3,132.7,85,120,GONI
202010300300,16.4,132.2,90,130,GONI
202010300600,16.4,131.6,100,140,GONI
202010300900,16.2,131.2,105,150,GONI
202010301200,16.1,130.9,115,165,GONI
202010301800,15.9,129.9,115,165,GONI
202010302100,15.6,129.3,115,165,GONI
202010310000,15.3,128.8,115,165,GONI
202010310300,15.1,128.3,115,165,GONI
202010310600,14.7,127.7,115,165,GONI
202010310900,14.4,127.1,115,165,GONI
202010311200,14.2,126.5,115,165,GONI
202010311500,13.9,125.7,115,165,GONI
202010311800,13.7,125,120,170,GONI
202010312100,13.6,124.3,120,170,GONI
202011010000,13.5,123.6,90,130,GONI
202011010300,13.5,122.7,85,120,GONI
202011010600,13.6,122,80,115,GONI
202011010900,14.1,121.6,65,95,GONI
202011011200,14.3,121.1,50,70,GONI
202011011500,14.4,120.7,40,60,GONI
202011011800,14.5,120.5,35,50,GONI
202011012100,14.5,119.5,35,50,GONI
202011020000,14.5,118.6,35,50,GONI
202011020300,15,118.6,35,50,GONI
202011020600,15.2,118.1,35,50,GONI
202011020900,15.2,117.3,35,50,GONI
202011021200,15.2,116.8,35,50,GONI
202011021500,15.1,116.4,35,50,GONI
202011021800,15,116,35,50,GONI
202011022100,15,115.5,35,50,GONI
202011030000,14.9,115.3,35,50,GONI
202011030300,14.8,115.2,35,50,GONI
202011030600,14.8,115.1,35,50,GONI
202011030900,14.8,115.2,35,50,GONI
202011031200,14.8,114.7,35,50,GONI
202011031500,14.8,114.4,35,50,GONI
202011031800,14.7,114,35,50,GONI
202011032100,14.7,113.7,35,50,GONI
202011040000,14.6,113.4,35,50,GONI
202011040300,14.5,113.1,40,60,GONI
202011040600,14.4,113.1,40,60,GONI
202011040900,14.3,112.9,40,60,GONI
202011041200,14.5,112.7,40,60,GONI
202011041500,14.4,112.5,40,60,GONI
202011041800,14.3,112.3,40,60,GONI
202011042100,14.5,112.3,40,60,GONI
202011050000,14.5,111.7,40,60,GONI
202011050300,14.3,111,40,60,GONI
202011050600,14.3,111,35,50,GONI
202011050900,13.9,111.5,35,50,GONI
202011051200,14,111.2,35,50,GONI
202011051500,14.2,110.5,35,50,GONI
202011051800,14,111,0,0,GONI
