Mtype,institute_name,product,model_name,basin,cycloneName,cycloneName2,cycloneNumber,ensemble,cyc_speed,cyc_cat,time,lat,lon,vhr,forecast_time
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/09, 06:00:00",11.6,130.3,none,"2020/11/09, 06:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/09, 12:00:00",12.0,130.5,none,"2020/11/09, 12:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/09, 18:00:00",12.4,130.0,none,"2020/11/09, 18:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/10, 00:00:00",13.4,128.9,none,"2020/11/10, 00:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/10, 06:00:00",14.0,128.2,none,"2020/11/10, 06:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/10, 12:00:00",14.4,127.1,none,"2020/11/10, 12:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/10, 18:00:00",14.4,125.8,none,"2020/11/10, 18:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/11, 00:00:00",14.6,124.6,none,"2020/11/11, 00:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/11, 06:00:00",14.4,123.5,none,"2020/11/11, 06:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/11, 12:00:00",14.7,122.9,none,"2020/11/11, 12:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/11, 18:00:00",15.1,121.3,none,"2020/11/11, 18:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/12, 00:00:00",15.2,119.7,none,"2020/11/12, 00:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/12, 06:00:00",15.2,118.5,none,"2020/11/12, 06:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/12, 12:00:00",15.1,117.4,none,"2020/11/12, 12:00:00"
analysis,rjtd,jma,jma,,vamco,abby,22,nan,,,"2020/11/12, 18:00:00",15.1,116.3,none,"2020/11/12, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,29.3,,"2020/11/09, 06:00:00",11.6,130.1,0,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,31.5,,"2020/11/09, 12:00:00",12.4,129.7,6,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,29.0,,"2020/11/09, 18:00:00",13.0,129.1,12,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,30.8,,"2020/11/10, 00:00:00",13.5,128.7,18,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,32.2,,"2020/11/10, 06:00:00",13.9,128.0,24,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,34.8,,"2020/11/10, 12:00:00",14.1,127.2,30,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,37.3,,"2020/11/10, 18:00:00",14.1,126.5,36,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,41.1,,"2020/11/11, 00:00:00",14.0,125.7,42,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,43.7,,"2020/11/11, 06:00:00",13.9,124.9,48,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,47.4,,"2020/11/11, 12:00:00",13.7,123.9,54,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,46.7,,"2020/11/11, 18:00:00",13.7,122.8,60,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,45.1,,"2020/11/12, 00:00:00",13.6,121.6,66,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,43.1,,"2020/11/12, 06:00:00",13.7,120.6,72,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,46.1,,"2020/11/12, 12:00:00",14.2,119.2,78,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,50.1,,"2020/11/12, 18:00:00",14.4,117.6,84,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,46.7,,"2020/11/13, 00:00:00",14.2,116.1,90,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,48.3,,"2020/11/13, 06:00:00",13.9,115.0,96,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,47.0,,"2020/11/13, 12:00:00",13.8,114.2,102,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,49.8,,"2020/11/13, 18:00:00",14.0,113.4,108,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,49.7,,"2020/11/14, 00:00:00",14.3,112.3,114,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,53.4,,"2020/11/14, 06:00:00",14.7,111.2,120,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,53.7,,"2020/11/14, 12:00:00",14.9,110.3,126,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,56.1,,"2020/11/14, 18:00:00",15.3,109.6,132,"2020/11/09, 06:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,28.8,,"2020/11/09, 12:00:00",12.1,129.9,0,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,29.1,,"2020/11/09, 18:00:00",12.8,129.4,6,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,30.1,,"2020/11/10, 00:00:00",13.3,128.8,12,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,34.6,,"2020/11/10, 06:00:00",13.8,128.3,18,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,35.4,,"2020/11/10, 12:00:00",14.1,127.4,24,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,34.9,,"2020/11/10, 18:00:00",14.1,126.6,30,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,40.0,,"2020/11/11, 00:00:00",14.0,125.8,36,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,42.9,,"2020/11/11, 06:00:00",13.9,124.9,42,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,46.2,,"2020/11/11, 12:00:00",13.7,123.8,48,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,47.9,,"2020/11/11, 18:00:00",13.7,122.8,54,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,44.8,,"2020/11/12, 00:00:00",13.7,121.4,60,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,45.4,,"2020/11/12, 06:00:00",13.7,120.1,66,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,50.3,,"2020/11/12, 12:00:00",14.0,118.9,72,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,51.8,,"2020/11/12, 18:00:00",14.2,117.2,78,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,49.0,,"2020/11/13, 00:00:00",13.9,115.7,84,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,48.9,,"2020/11/13, 06:00:00",13.7,114.5,90,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,55.8,,"2020/11/13, 12:00:00",13.5,113.7,96,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,53.0,,"2020/11/13, 18:00:00",13.7,112.7,102,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,52.4,,"2020/11/14, 00:00:00",14.0,111.6,108,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,52.7,,"2020/11/14, 06:00:00",14.3,110.5,114,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,55.1,,"2020/11/14, 12:00:00",14.8,109.7,120,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,52.1,,"2020/11/14, 18:00:00",15.3,108.5,126,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,35.7,,"2020/11/15, 00:00:00",15.8,107.0,132,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,28.8,,"2020/11/15, 06:00:00",16.1,105.6,138,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,25.1,,"2020/11/15, 12:00:00",16.1,104.5,144,"2020/11/09, 12:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,28.2,,"2020/11/09, 18:00:00",12.6,129.7,0,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,30.5,,"2020/11/10, 00:00:00",13.1,129.1,6,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,35.3,,"2020/11/10, 06:00:00",13.7,128.6,12,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,35.9,,"2020/11/10, 12:00:00",14.1,127.6,18,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,34.9,,"2020/11/10, 18:00:00",14.1,126.7,24,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,36.5,,"2020/11/11, 00:00:00",13.9,125.9,30,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,38.4,,"2020/11/11, 06:00:00",13.9,125.0,36,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,42.1,,"2020/11/11, 12:00:00",13.8,123.9,42,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,42.8,,"2020/11/11, 18:00:00",13.7,122.8,48,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,42.9,,"2020/11/12, 00:00:00",13.7,121.5,54,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,41.8,,"2020/11/12, 06:00:00",13.8,120.3,60,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,48.8,,"2020/11/12, 12:00:00",14.2,119.0,66,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,46.7,,"2020/11/12, 18:00:00",14.3,117.3,72,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,45.5,,"2020/11/13, 00:00:00",14.1,116.0,78,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,45.0,,"2020/11/13, 06:00:00",13.9,114.9,84,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,45.9,,"2020/11/13, 12:00:00",13.8,113.9,90,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,50.7,,"2020/11/13, 18:00:00",13.8,113.0,96,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,52.9,,"2020/11/14, 00:00:00",14.3,112.0,102,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,52.7,,"2020/11/14, 06:00:00",14.6,110.9,108,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,50.9,,"2020/11/14, 12:00:00",14.8,110.1,114,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,54.7,,"2020/11/14, 18:00:00",15.5,109.2,120,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,53.5,,"2020/11/15, 00:00:00",16.0,108.2,126,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,40.8,,"2020/11/15, 06:00:00",16.4,107.2,132,"2020/11/09, 18:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,33.3,,"2020/11/10, 00:00:00",13.3,128.9,0,"2020/11/10, 00:00:00"
forecast,rjtd,jma,jma-gsm,,vamco,abby,22,none,35.0,,"2020/11/10, 06:00:00",14.0,128.2,6,"2020/11/10, 00:00:00"
