"","GEN_mun_code","impact","impact_threshold_passed","WEA_dist_track.x"
"1","PH023122000",0.755337695848324,1,1.92937571480987
"2","PH023121000",1.64538046344982,1,7.16827177325517
"3","PH023137000",0.560741438321694,1,8.71643603311306
"4","PH023119000",1.05304798951039,1,9.28245177283876
"5","PH143208000",0.30403939089273,1,9.91488042181008
"6","PH143213000",0.722922001255493,1,10.8905946276882
"7","PH140105000",0.438557966750637,1,11.7154102785146
"8","PH143214000",0.543127681475933,1,12.1869948790107
"9","PH023118000",0.762815430117357,1,13.581966255707
"10","PH023136000",0.800863341641077,1,14.9510827341606
"11","PH143201000",0.367008891412543,1,15.0232711033359
"12","PH023114000",0.467722288092621,1,15.0441461729059
"13","PH143206000",0.3471425855546,1,15.219722525999
"14","PH140115000",0.351603344267455,1,16.6293743535467
"15","PH023123000",0.877355769195884,1,18.3623768731745
"16","PH023106000",0.538055172071013,1,18.5786571073883
"17","PH023113000",0.670335309134759,1,18.7689281375246
"18","PH023126000",0.691676902936871,1,18.9554109788411
"19","PH023111000",1.14032558159559,1,19.0914015307392
"20","PH143215000",0.410945529129726,1,20.7910098010425
"21","PH144406000",1.8575626735001,1,21.4981940053432
"22","PH023134000",1.01600574854096,1,21.671199670321
"23","PH140102000",0.475784445801142,1,22.3522117091216
"24","PH140104000",0.405896173570515,1,23.3658881967364
"25","PH143209000",0.2911573599911,1,23.3697488383062
"26","PH143211000",0.412733565010381,1,24.0453331027415
"27","PH140113000",0.543538817752636,1,24.9157461490372
"28","PH023105000",0.788297256978445,1,25.8301359623347
"29","PH023120000",0.665003997809424,1,26.8854253079325
"30","PH023131000",0.625830313473301,1,27.057868790391
"31","PH023125000",0.718335808310512,1,27.4268827901612
"32","PH144405000",1.99426134932859,1,27.8832717265869
"33","PH144408000",1.81251955405946,1,28.6537646984841
"34","PH023133000",0.528501769935784,1,28.783841806208
"35","PH023130000",0.911622324782496,1,28.8624529369348
"36","PH140120000",0.55136350547289,1,29.0357232118066
"37","PH021512000",0.730922172489767,1,29.4717837142559
"38","PH140109000",0.492064974075433,1,29.9955864216394
"39","PH023117000",1.1378170419387,1,31.9380385868288
"40","PH023116000",0.961974668254081,1,33.2842998476192
"41","PH023103000",0.642406421363634,1,34.5288500560565
"42","PH140126000",0.28425797533538,1,34.5583411378787
"43","PH023104000",0.760846886197298,1,34.5845132083947
"44","PH140110000",0.454443825651456,1,36.7636939107431
"45","PH140103000",0.54209613520714,1,37.2444784328368
"46","PH140116000",0.331865331822139,1,37.2954592047426
"47","PH021529000",0.360736622826172,1,37.6956757768045
"48","PH023108000",0.415351491519312,1,38.7103239377802
"49","PH021528000",0.64801591593058,1,38.7347215695975
"50","PH144401000",0.602194986596369,1,39.4234450733943
"51","PH142707000",0.3390352389207,1,39.4948931909424
"52","PH144404000",0.750205935776635,1,39.7214500135069
"53","PH023107000",0.678863902662415,1,39.9742928504073
"54","PH148102000",2.14586073819594,1,40.5894544534094
"55","PH021527000",0.883375061848996,1,41.3629649575836
"56","PH144409000",1.67446797073958,1,42.261765712362
"57","PH140114000",0.324635535823145,1,42.3315203577198
"58","PH140107000",0.46277150686627,1,42.7207835844981
"59","PH144403000",0.660431852047792,1,43.3453326768383
"60","PH140117000",1.31106653699447,1,43.7741228633681
"61","PH140122000",1.09503800693236,1,44.1429275600988
"62","PH140124000",0.34502044545666,1,45.3074772559629
"63","PH140127000",0.285359810975863,1,45.9741675299698
"64","PH023110000",1.32874959761012,1,46.5804880843024
"65","PH140125000",0.30965922093562,1,46.6590977477972
"66","PH023132000",0.501823591531983,1,46.701460446057
"67","PH142708000",0.317119887048766,1,47.7405065338304
"68","PH140121000",0.29645188728873,1,47.9268192797585
"69","PH021520000",0.727815840826228,1,48.8216350241241
"70","PH023102000",0.604795169677683,1,49.8258257050664
"71","PH140108000",0.476944840586866,1,50.1192911795596
"72","PH023101000",0.534159548977364,1,50.7108443209374
"73","PH012915000",0.480528438509884,1,51.3932537206816
"74","PH140119000",0.619132814479178,1,51.5012864689307
"75","PH021519000",0.79879907986165,1,52.2650657608446
"76","PH140101000",0.444851816574723,1,52.3423878240298
"77","PH021515000",0.719822502487601,1,52.5205036457212
"78","PH140111000",0.461084638193943,1,52.8977408657165
"79","PH142706000",0.432948886058309,1,52.9430855155825
"80","PH140118000",0.321952475691953,1,53.1394065386123
"81","PH012917000",0.372680335545249,1,53.779466693187
"82","PH012913000",0.533032708602909,1,54.1589932650798
"83","PH142701000",0.89107622332616,1,55.0579342600806
"84","PH144407000",1.32718057929531,1,55.4200960216283
"85","PH023128000",0.617202280528517,1,56.5267279557115
"86","PH144410000",1.92219884237867,1,56.9599178856501
"87","PH023124000",0.596196330381072,1,57.0250398449143
"88","PH140106000",0.501706985524699,1,57.6240936495773
"89","PH012910000",0.416786010834204,1,57.6727388264263
"90","PH021504000",0.702430670316063,1,58.3023980866822
"91","PH140123000",0.313027983119611,1,59.0762550149334
"92","PH140112000",0.417387253602366,1,59.3342250113974
"93","PH012914000",1.05449174479718,1,59.4707480225262
"94","PH012911000",0.507451096603531,1,59.8654935007521
"95","PH012904000",0.431782028401724,1,60.1276665034543
"96","PH023129000",0.679259591980592,1,60.3858649503437
"97","PH144402000",0.675819706755797,1,60.5286055271825
"98","PH021521000",1.07320812480436,1,61.1067100533284
"99","PH012926000",0.847731822171042,1,61.1091770189447
