gridid,glat,glon
PH012801000,18.453,120.910
PH012802000,18.267,120.610
PH012803000,17.906,120.500
PH012804000,18.490,120.750
PH012805000,18.038,120.580
PH012807000,18.219,120.860
PH012808000,18.011,120.500
PH012820000,18.146,120.590
PH012901000,16.893,120.570
PH012809000,18.077,120.720
PH101314000,8.374,124.890
PH101315000,7.812,124.960
PH101316000,7.805,124.800
PH101317000,7.713,125.160
PH071225000,9.693,124.340
PH012810000,18.477,120.830
PH012811000,17.967,120.650
PH012812000,18.195,120.570
PH103508000,8.089,123.890
PH103509000,7.954,123.760
PH103510000,8.168,124.150
PH103511000,8.013,123.920
PH103512000,8.115,123.970
PH103513000,8.122,124.160
PH103514000,8.021,124.050
PH071232000,9.753,123.850
PH012813000,18.025,120.690
PH012814000,17.982,120.780
PH012815000,18.563,120.860
PH012816000,18.085,120.510
PH012817000,18.371,120.630
PH012908000,16.990,120.700
PH012818000,18.180,120.750
PH012819000,17.948,120.540
PH012821000,18.135,120.640
PH012823000,18.329,120.780
PH104302000,8.746,124.840
PH012822000,18.101,120.790
PH153827000,6.890,124.390
PH012902000,17.246,120.490
PH012911000,17.259,120.530
PH012912000,17.683,120.450
PH071218000,9.962,124.200
PH071219000,9.610,123.830
PH012903000,17.598,120.450
PH012904000,17.314,120.510
PH012905000,17.788,120.490
PH012906000,17.193,120.460
PH012907000,17.535,120.390
PH071220000,9.650,124.150
PH071221000,9.739,124.380
PH071222000,9.663,124.280
PH012909000,17.188,120.510
PH012910000,17.152,120.610
PH071223000,9.775,124.440
PH071224000,10.001,124.090
PH012913000,17.440,120.550
PH012914000,17.447,120.500
PH012915000,17.123,120.710
PH071226000,10.127,124.180
PH071227000,9.608,124.100
PH071228000,9.611,124.010
PH104319000,8.887,124.970
PH012916000,17.120,120.540
PH012917000,17.240,120.600
PH012918000,17.325,120.450
PH012919000,17.619,120.400
PH012920000,17.733,120.470
PH012921000,17.612,120.360
PH012922000,17.518,120.440
PH012923000,17.586,120.350
PH025012000,16.183,120.900
PH012924000,17.056,120.480
PH071229000,9.644,124.040
PH071230000,9.819,123.820
PH071231000,9.905,124.510
PH012925000,17.126,120.470
PH012926000,17.367,120.490
PH012927000,17.273,120.440
PH012928000,17.644,120.420
PH012929000,17.056,120.600
PH012930000,17.859,120.480
PH012932000,16.979,120.550
PH012933000,16.938,120.460
PH012934000,17.563,120.380
PH013301000,16.326,120.370
PH013302000,16.410,120.400
PH013303000,16.744,120.370
PH071233000,9.579,123.770
PH071234000,9.846,124.350
PH071235000,10.104,124.560
PH012931000,16.779,120.550
PH031402000,14.828,120.900
PH013304000,16.609,120.470
PH013305000,16.806,120.400
PH013306000,16.880,120.430
PH013307000,16.513,120.340
PH015540000,15.865,120.570
PH031413000,14.878,121.180
PH013308000,16.532,120.470
PH013309000,16.440,120.370
PH013310000,16.839,120.370
PH013311000,16.526,120.410
PH104217000,8.266,123.610
PH104301000,8.488,124.430
PH013312000,16.313,120.480
PH013313000,16.245,120.450
PH013314000,16.608,120.350
PH013315000,16.684,120.470
PH013316000,16.670,120.370
PH013317000,16.273,120.390
PH013318000,16.750,120.490
PH104303000,8.936,124.870
PH104304000,8.919,124.790
PH104305000,8.373,124.600
PH104306000,8.669,124.990
PH104307000,8.514,124.490
PH104308000,8.776,125.100
PH104309000,8.560,124.400
PH104310000,8.483,124.340
PH104311000,8.655,124.770
PH104312000,8.954,124.820
PH104313000,8.808,124.820
PH104314000,8.592,124.440
PH104315000,8.530,124.370
PH104316000,8.341,124.290
PH104317000,8.971,125.200
PH104318000,8.365,124.350
PH013319000,16.847,120.490
PH104320000,8.419,124.340
PH104321000,8.427,124.500
PH104322000,8.861,124.830
PH104323000,8.927,124.810
PH104324000,8.535,124.790
PH104325000,8.960,124.900
PH104326000,8.576,124.790
PH112301000,7.633,125.790
PH112303000,7.372,125.670
PH013320000,16.344,120.420
PH015501000,16.102,119.800
PH015502000,15.837,120.210
PH015503000,16.152,119.970
PH015504000,15.837,120.520
PH015505000,16.293,119.970
PH037707000,15.773,121.400
PH015506000,15.996,120.650
PH015507000,15.890,120.690
PH015508000,16.209,119.850
