adm3_pcode,vmax
PH013301000,34.759049680000004
PH013302000,34.759049680000004
PH013312000,34.759049680000004
PH013313000,34.759049680000004
PH013317000,34.759049680000004
PH013320000,34.759049680000004
PH015501000,34.759049680000004
PH015502000,34.759049680000004
PH015503000,34.759049680000004
PH015504000,34.759049680000004
PH015505000,34.759049680000004
PH015506000,34.759049680000004
PH015507000,34.759049680000004
PH015508000,34.759049680000004
PH015509000,34.759049680000004
PH015510000,34.759049680000004
PH015511000,34.759049680000004
PH015512000,34.759049680000004
PH015513000,34.759049680000004
PH015514000,34.759049680000004
PH015515000,34.759049680000004
PH015516000,34.759049680000004
PH015517000,34.759049680000004
PH015518000,34.759049680000004
PH015519000,34.759049680000004
PH015520000,34.759049680000004
PH015521000,34.759049680000004
PH015522000,34.759049680000004
PH015523000,34.759049680000004
PH015524000,34.759049680000004
PH015525000,34.759049680000004
PH015526000,34.759049680000004
PH015527000,34.759049680000004
PH015528000,34.759049680000004
PH015529000,34.759049680000004
PH015530000,34.759049680000004
PH015531000,34.759049680000004
PH015532000,34.759049680000004
PH015533000,34.759049680000004
PH015534000,34.759049680000004
PH015535000,34.759049680000004
PH015536000,34.759049680000004
PH015537000,34.759049680000004
PH015538000,34.759049680000004
PH015539000,34.759049680000004
PH015540000,34.759049680000004
PH015541000,34.759049680000004
PH015542000,34.759049680000004
PH015543000,34.759049680000004
PH015544000,34.759049680000004
PH015545000,34.759049680000004
PH015546000,34.759049680000004
PH015547000,34.759049680000004
PH015548000,34.759049680000004
PH030801000,52.13857452
PH030802000,60.82833694
PH030803000,52.13857452
PH030804000,43.4488121
PH030805000,43.4488121
PH030806000,52.13857452
PH030807000,60.82833694
PH030808000,60.82833694
PH030809000,43.4488121
PH030810000,52.13857452
PH030811000,52.13857452
PH030812000,52.13857452
PH031401000,34.759049680000004
PH031402000,43.4488121
PH031403000,34.759049680000004
PH031404000,43.4488121
PH031405000,43.4488121
PH031406000,34.759049680000004
PH031407000,43.4488121
PH031408000,43.4488121
PH031409000,43.4488121
PH031410000,43.4488121
PH031411000,43.4488121
PH031412000,43.4488121
PH031413000,43.4488121
PH031414000,43.4488121
PH031415000,34.759049680000004
PH031416000,43.4488121
PH031417000,34.759049680000004
PH031418000,34.759049680000004
PH031419000,34.759049680000004
PH031420000,43.4488121
PH031421000,34.759049680000004
PH031422000,34.759049680000004
PH031423000,43.4488121
PH031424000,43.4488121
PH034901000,34.759049680000004
PH034903000,34.759049680000004
PH034904000,34.759049680000004
PH034906000,34.759049680000004
PH034907000,34.759049680000004
PH034908000,34.759049680000004
PH034909000,34.759049680000004
PH034910000,34.759049680000004
PH034911000,34.759049680000004
PH034912000,34.759049680000004
PH034914000,34.759049680000004
PH034915000,34.759049680000004
PH034916000,34.759049680000004
PH034917000,34.759049680000004
PH034918000,34.759049680000004
PH034919000,34.759049680000004
PH034921000,34.759049680000004
PH034922000,34.759049680000004
PH034923000,34.759049680000004
PH034924000,34.759049680000004
PH034925000,34.759049680000004
PH034926000,34.759049680000004
PH034927000,34.759049680000004
PH034928000,34.759049680000004
PH034929000,34.759049680000004
PH034930000,34.759049680000004
PH034931000,34.759049680000004
PH034932000,34.759049680000004
PH035401000,34.759049680000004
PH035402000,34.759049680000004
PH035403000,34.759049680000004
PH035404000,43.4488121
PH035405000,34.759049680000004
PH035406000,43.4488121
PH035407000,43.4488121
PH035408000,43.4488121
PH035409000,34.759049680000004
PH035410000,43.4488121
PH035411000,34.759049680000004
PH035412000,43.4488121
PH035413000,34.759049680000004
PH035414000,43.4488121
PH035415000,43.4488121
PH035416000,43.4488121
PH035417000,34.759049680000004
PH035418000,34.759049680000004
PH035419000,34.759049680000004
PH035420000,34.759049680000004
PH035421000,43.4488121
PH035422000,43.4488121
PH036901000,34.759049680000004
PH036902000,34.759049680000004
PH036903000,34.759049680000004
PH036904000,34.759049680000004
PH036905000,34.759049680000004
PH036906000,34.759049680000004
PH036907000,34.759049680000004
PH036908000,34.759049680000004
PH036909000,34.759049680000004
PH036910000,34.759049680000004
PH036911000,34.759049680000004
PH036912000,34.759049680000004
PH036913000,34.759049680000004
PH036914000,34.759049680000004
PH036915000,34.759049680000004
PH036916000,34.759049680000004
PH036917000,34.759049680000004
PH036918000,34.759049680000004
PH037101000,43.4488121
PH037102000,43.4488121
PH037103000,43.4488121
PH037104000,43.4488121
PH037105000,43.4488121
PH037106000,43.4488121
PH037107000,52.13857452
PH037108000,43.4488121
PH037109000,52.13857452
PH037110000,43.4488121
PH037111000,43.4488121
PH037112000,43.4488121
PH037113000,43.4488121
PH037114000,52.13857452
PH037702000,34.759049680000004
PH037705000,34.759049680000004
PH037706000,34.759049680000004
PH037708000,34.759049680000004
PH041001000,52.13857452
PH041002000,43.4488121
PH041003000,43.4488121
PH041004000,52.13857452
PH041005000,52.13857452
PH041006000,43.4488121
PH041007000,43.4488121
PH041008000,43.4488121
PH041009000,43.4488121
PH041010000,43.4488121
PH041011000,52.13857452
PH041012000,43.4488121
PH041013000,43.4488121
