YYYYMMDDHH,LAT,LON,VMAX,STORMNAME
201908300600,22.8,123.0,78.20784,MITAG
201908301800,25.5,122.4,78.20784,MITAG
201908310600,27.8,122.4,78.20784,MITAG
201908311800,29.9,123.2,60.82832,MITAG
201909010600,32.1,124.7,60.82832,MITAG
201909020600,35.6,129.1,43.4488,MITAG
201909030600,36.7,135.4,34.75904,MITAG
201909040600,42.2,145.4,34.75904,MITAG
