pcode,Poverty_incidence
PH063004000,16
PH063005000,24
PH063006000,24
PH063007000,17
PH063008000,25
PH063009000,34
PH063010000,26
PH063012000,15
PH063013000,27
PH063014000,35
PH063015000,36
PH063016000,21
PH063017000,25
PH063018000,21
PH063019000,26
PH063020000,11
PH063021000,22
PH063022000,5
PH063023000,25
PH063025000,26
PH063026000,10
PH063027000,28
PH063028000,23
PH063029000,28
PH063030000,18
PH063031000,24
PH063032000,16
PH063034000,10
PH063035000,25
PH063036000,8
PH063037000,18
PH063038000,32
PH063039000,26
PH063040000,28
PH063041000,14
PH063042000,28
PH063043000,13
PH063044000,26
PH063045000,19
PH063046000,28
PH063047000,16
PH064501000,3
PH064502000,20
PH064503000,16
PH064504000,24
PH064505000,32
PH064506000,29
PH064507000,31
PH064508000,20
PH064509000,23
PH064510000,23
PH064511000,16
PH064512000,30
PH064513000,24
PH064514000,27
PH064515000,25
PH064516000,10
PH064517000,29
PH064518000,24
PH064519000,32
PH064520000,23
PH064521000,18
PH064522000,10
PH064523000,25
PH064524000,23
PH064525000,12
PH064526000,13
PH064527000,29
PH064528000,10
PH064529000,31
PH064530000,10
PH064531000,15
PH064532000,40
PH067901000,16
PH067902000,17
PH067903000,19
PH067904000,28
PH067905000,28
PH071201000,15
PH071202000,33
PH071203000,30
PH071204000,18
PH071205000,15
PH071206000,31
PH071207000,32
PH071208000,22
PH071209000,45
PH071210000,25
PH071211000,34
PH071212000,38
PH071213000,36
PH071214000,26
PH071215000,17
PH071216000,15
PH071217000,40
PH071218000,42
PH071219000,17
PH071220000,30
PH071221000,29
PH071222000,28
PH071223000,30
PH071224000,34
PH071225000,19
PH071226000,43
PH071227000,19
PH071228000,19
PH071229000,21
PH071230000,21
PH071231000,46
PH071232000,17
PH071233000,16
PH071234000,38
PH071235000,51
PH071236000,24
PH071237000,44
PH071238000,42
PH071239000,31
PH071240000,35
PH071241000,28
PH071242000,7
PH071243000,36
PH071244000,39
PH071245000,26
PH071246000,39
PH071247000,28
PH071248000,48
PH072201000,34
PH072202000,24
PH072203000,39
PH072204000,29
PH072205000,24
PH072206000,30
PH072207000,38
PH072208000,20
PH072209000,36
PH072210000,26
PH072211000,20
PH072212000,33
PH072213000,27
PH072214000,17
PH072215000,19
PH072216000,27
PH072217000,6
PH072218000,18
PH072219000,9
PH072220000,14
PH072221000,28
PH072222000,42
PH072223000,16
PH072224000,33
PH072225000,40
PH072226000,9
PH072227000,10
PH072228000,36
PH072229000,37
PH072230000,5
PH072231000,23
PH072232000,9
PH072233000,27
PH072234000,17
PH072235000,40
PH072236000,30
PH072237000,25
PH072238000,30
PH072239000,32
PH072240000,31
PH072241000,20
PH072242000,49
PH072243000,27
PH072244000,39
PH072245000,27
PH072246000,25
PH072247000,33
PH072248000,34
PH072249000,33
PH072250000,10
PH072251000,18
PH072252000,34
PH072253000,24
PH074601000,20
PH074602000,51
PH074603000,18
PH074604000,31
PH074605000,46
PH074606000,37
PH074607000,55
PH074608000,42
PH074609000,28
PH074610000,6
PH074611000,40
PH074612000,48
PH074613000,50
PH074614000,40
PH074615000,33
PH074616000,34
PH074617000,28
PH074618000,43
PH074619000,45
PH074620000,14
PH074621000,22
PH074622000,41
PH074623000,20
PH074624000,38
PH074625000,32
PH076101000,19
PH076102000,7
PH076103000,28
PH076104000,25
PH076105000,31
PH076106000,18
PH082601000,59
PH082602000,40
PH082603000,51
PH082604000,25
PH082605000,44
PH082606000,49
PH082607000,53
PH082608000,48
PH082609000,36
PH082610000,52
PH082611000,60
PH082612000,33
PH082613000,47
PH082614000,60
PH082615000,40
PH082616000,44
PH082617000,53
PH082618000,50
PH082619000,43
PH082620000,43
PH082621000,52
PH082622000,36
PH082623000,39
PH083701000,35
PH083702000,41
PH083703000,38
PH083705000,44
PH083706000,37
PH083707000,40
PH083708000,27
PH083710000,36
PH083713000,46
PH083714000,44
PH083715000,34
PH083717000,46
PH083718000,33
PH083719000,37
PH083720000,32
PH083721000,32
PH083722000,23
PH083723000,44
PH083724000,41
PH083725000,36
PH083726000,40
PH083728000,45
PH083729000,53
PH083730000,42
PH083731000,39
PH083733000,49
PH083734000,41
PH083735000,31
PH083736000,38
PH083738000,25
PH083739000,17
PH083740000,27
PH083741000,49
PH083742000,47
PH083743000,46
PH083744000,43
PH083745000,46
PH083746000,45
PH083747000,9
PH083748000,28
PH083749000,20
PH083750000,22
PH083751000,44
PH084801000,35
PH084802000,55
PH084803000,40
PH084804000,45
PH084805000,34
PH084806000,54
PH084807000,51
PH084808000,51
PH084809000,55
PH084810000,57
PH084811000,48
PH084812000,53
PH084813000,53
PH084814000,51
PH084815000,55
PH084816000,43
PH084817000,36
PH084818000,40
PH084819000,48
PH084820000,51
PH084821000,45
PH084822000,71
PH084823000,40
PH084824000,63
PH086001000,48
PH086002000,34
PH086003000,24
PH086004000,37
PH086005000,17
PH086006000,52
PH086007000,46
PH086008000,34
PH086009000,37
PH086010000,37
PH086011000,51
PH086012000,42
PH086013000,46
PH086014000,43
PH086015000,40
PH086016000,33
PH086017000,48
PH086018000,40
PH086019000,45
PH086020000,47
PH086021000,42
PH086022000,31
PH086023000,49
PH086024000,49
PH086025000,41
PH086026000,37
PH086401000,39
PH086402000,39
PH086403000,33
PH086404000,36
PH086405000,40
PH086406000,42
PH086407000,29
PH086408000,35
PH086409000,45
PH086410000,30
PH086411000,44
PH086412000,39
PH086413000,39
PH086414000,35
PH086415000,45
PH086416000,31
PH086417000,39
PH086418000,42
PH086419000,48
PH087801000,25
PH087802000,32
PH087803000,38
PH087804000,36
PH087805000,31
PH087806000,31
PH087807000,41
PH087808000,21
PH097201000,38
PH097202000,40
PH097203000,52
PH097204000,47
PH097205000,46
PH097206000,39
PH097207000,51
PH097208000,43
PH097209000,40
PH097210000,36
PH097211000,51
PH097212000,33
PH097213000,49
PH097214000,59
PH097215000,70
PH097216000,67
PH097217000,40
PH097218000,46
PH097219000,49
PH097220000,41
PH097221000,44
PH097222000,62
PH097223000,67
PH097224000,62
PH097225000,60
PH097226000,54
PH097227000,52
PH097302000,43
PH097303000,44
PH097305000,49
PH097306000,48
PH097307000,34
PH097308000,48
PH097311000,47
PH097312000,35
PH097313000,58
PH097315000,33
PH097317000,30
PH097318000,54
PH097319000,22
PH097322000,15
PH097323000,32
PH097324000,46
PH097325000,46
PH097327000,32
PH097328000,34
PH097330000,31
PH097332000,12
PH097333000,47
PH097337000,49
PH097338000,34
PH097340000,50
PH097341000,46
PH097343000,38
PH097344000,46
PH098301000,45
PH098302000,35
PH098303000,35
PH098304000,28
PH098305000,19
PH098306000,36
PH098307000,67
PH098308000,31
PH098309000,27
PH098310000,50
PH098311000,50
PH098312000,50
PH098313000,37
PH098314000,59
PH098315000,33
PH098316000,56
PH099701000,22
PH101301000,46
PH101302000,64
PH101303000,39
PH101304000,37
PH101305000,58
PH101306000,56
PH101307000,53
PH101308000,49
PH101309000,64
PH101310000,48
PH101311000,37
PH101312000,31
PH101313000,65
PH101314000,33
PH101315000,37
PH101316000,51
PH101317000,49
PH101318000,63
PH101319000,45
PH101320000,62
PH101321000,34
PH101322000,59
PH101801000,43
PH101802000,68
PH101803000,43
PH101804000,30
PH101805000,49
PH103501000,37
PH103502000,52
PH103503000,44
PH103504000,17
PH103505000,43
PH103506000,63
PH103507000,41
PH103508000,36
PH103509000,43
PH103510000,30
PH103511000,55
PH103512000,36
PH103513000,64
PH103514000,65
PH103515000,79
PH103516000,67
PH103517000,73
PH103518000,68
PH103519000,58
PH103520000,69
PH103521000,79
PH103522000,37
PH103523000,67
PH104201000,39
PH104202000,49
PH104203000,51
PH104204000,27
PH104205000,33
PH104206000,77
PH104207000,27
PH104208000,44
PH104209000,22
PH104210000,20
PH104211000,31
PH104212000,37
PH104213000,46
PH104214000,38
PH104215000,39
PH104216000,38
PH104217000,67
PH104301000,35
PH104302000,37
PH104303000,33
PH104304000,28
PH104305000,7
PH104306000,39
PH104307000,23
PH104308000,27
PH104309000,35
PH104310000,30
PH104311000,26
PH104312000,27
PH104313000,32
PH104314000,35
PH104315000,47
PH104316000,21
PH104317000,48
PH104318000,28
PH104319000,19
PH104320000,25
PH104321000,14
PH104322000,27
PH104323000,40
PH104324000,13
PH104325000,29
PH104326000,20
PH112301000,39
PH112303000,26
PH112305000,33
PH112314000,41
PH112315000,16
PH112317000,28
PH112318000,21
PH112319000,13
PH112322000,68
PH112323000,29
PH112324000,43
PH112401000,23
PH112402000,10
PH112403000,14
PH112404000,23
PH112405000,75
PH112406000,52
PH112407000,29
PH112408000,35
PH112409000,60
PH112410000,25
PH112411000,14
PH112412000,28
PH112413000,50
PH112414000,37
PH112415000,65
PH112416000,73
PH112501000,26
PH112502000,34
PH112503000,27
PH112504000,51
PH112505000,28
PH112506000,38
PH112507000,32
PH112508000,58
PH112509000,27
PH112510000,35
PH112511000,56
PH118201000,27
PH118202000,53
PH118203000,32
PH118204000,29
PH118205000,31
PH118206000,32
PH118207000,25
PH118208000,40
PH118209000,24
PH118210000,32
PH118211000,36
PH124701000,54
PH124702000,56
PH124703000,38
PH124704000,27
PH124705000,39
PH124706000,48
PH124707000,39
PH124708000,43
PH124709000,39
PH124710000,38
PH124711000,41
PH124712000,57
PH124713000,47
PH124714000,45
PH124715000,41
PH124716000,45
PH124717000,58
PH124718000,53
PH126302000,30
PH126303000,19
PH126306000,21
PH126311000,28
PH126312000,22
PH126313000,32
PH126314000,37
PH126315000,35
PH126316000,60
PH126317000,32
PH126318000,27
PH126319000,63
PH126501000,47
PH126502000,54
PH126503000,38
PH126504000,29
PH126505000,50
PH126506000,50
PH126507000,51
PH126508000,42
PH126509000,57
PH126510000,32
PH126511000,22
PH126512000,54
PH128001000,45
PH128002000,49
PH128003000,36
PH128004000,44
PH128005000,39
PH128006000,53
PH128007000,47
PH129804000,29
PH133900000,5
PH137401000,1
PH137402000,1
PH137403000,1
PH137404000,1
PH137405000,0
PH137501000,2
PH137502000,3
PH137503000,6
PH137504000,2
PH137601000,1
PH137602000,0
PH137603000,1
PH137604000,1
PH137605000,1
PH137606000,2
PH137607000,2
PH140101000,10
PH140102000,65
PH140103000,37
PH140104000,42
PH140105000,37
PH140106000,32
PH140107000,23
PH140108000,28
PH140109000,57
PH140110000,28
PH140111000,42
PH140112000,40
PH140113000,45
PH140114000,44
PH140115000,51
PH140116000,30
PH140117000,30
PH140118000,23
PH140119000,38
PH140120000,43
PH140121000,42
PH140122000,21
PH140123000,22
PH140124000,23
PH140125000,78
PH140126000,51
PH140127000,39
PH141101000,16
PH141102000,0
PH141103000,26
PH141104000,9
PH141105000,13
PH141106000,4
PH141107000,15
PH141108000,17
PH141109000,26
PH141110000,1
PH141111000,6
PH141112000,9
PH141113000,4
PH141114000,11
PH142701000,30
PH142702000,40
PH142703000,25
PH142704000,17
PH142705000,17
PH142706000,34
PH142707000,21
PH142708000,53
PH142709000,29
PH142710000,53
PH142711000,55
PH143201000,33
PH143206000,26
PH143208000,41
PH143209000,31
PH143211000,9
PH143213000,8
PH143214000,40
PH143215000,26
PH144401000,16
PH144402000,21
PH144403000,16
PH144404000,10
PH144405000,39
PH144406000,40
PH144407000,10
PH144408000,42
PH144409000,10
PH144410000,21
PH148101000,62
PH148102000,56
PH148103000,35
PH148104000,63
PH148105000,33
PH148106000,41
PH148107000,32
PH150702000,31
PH150703000,34
PH150704000,37
PH150705000,52
PH150706000,35
PH150707000,43
PH150708000,53
PH150709000,57
PH150710000,45
PH150711000,48
PH150712000,45
PH150713000,51
PH153601000,84
PH153602000,53
PH153603000,63
PH153604000,69
PH153605000,63
PH153606000,52
PH153607000,58
PH153609000,68
PH153610000,74
PH153611000,74
PH153612000,59
PH153613000,60
PH153614000,66
PH153615000,68
PH153616000,60
PH153617000,60
PH153618000,59
PH153619000,65
PH153620000,71
PH153621000,81
PH153622000,64
PH153623000,72
PH153624000,67
PH153625000,72
PH153626000,68
PH153627000,67
PH153628000,51
PH153629000,68
PH153630000,73
PH153631000,76
PH153632000,72
PH153633000,52
PH153634000,58
PH153635000,72
PH153636000,81
PH153637000,62
PH153638000,60
PH153639000,60
PH153640000,72
PH153641000,76
PH153801000,63
PH153802000,65
PH153803000,71
PH153805000,76
PH153806000,68
PH153807000,62
PH153808000,74
PH153809000,59
PH153810000,37
PH153811000,73
PH153812000,54
PH153813000,66
PH153814000,57
PH153815000,66
PH153816000,80
PH153817000,68
PH153818000,43
PH153819000,52
PH153820000,73
PH153821000,77
PH153822000,76
PH153823000,69
PH153824000,62
PH153825000,75
PH153826000,82
PH153827000,70
PH153828000,68
PH153829000,70
PH153830000,66
PH153831000,74
PH153832000,64
PH153833000,70
PH153834000,63
PH153835000,69
PH153836000,74
PH153837000,66
PH156601000,64
PH156602000,48
PH156603000,42
PH156604000,46
PH156605000,56
PH156606000,49
PH156607000,48
PH156608000,51
PH156609000,48
PH156610000,52
PH156611000,48
PH156612000,55
PH156613000,42
PH156614000,43
PH156615000,43
PH156616000,44
PH156617000,67
PH156618000,41
PH156619000,48
PH157001000,53
PH157002000,41
PH157003000,30
PH157004000,42
PH157005000,23
PH157006000,27
PH157007000,27
PH157008000,30
PH157009000,32
PH157010000,33
PH157011000,31
PH160201000,30
PH160202000,18
PH160203000,24
PH160204000,37
PH160205000,48
PH160206000,40
PH160207000,59
PH160208000,25
PH160209000,20
PH160210000,40
PH160211000,42
PH160212000,36
PH160301000,35
PH160302000,39
PH160303000,52
PH160304000,52
PH160305000,48
PH160306000,39
PH160307000,39
PH160308000,30
PH160309000,55
PH160310000,36
PH160311000,45
PH160312000,34
PH160313000,48
PH160314000,47
PH166701000,38
PH166702000,37
PH166704000,40
PH166706000,41
PH166707000,43
PH166708000,41
PH166710000,44
PH166711000,41
PH166714000,41
PH166715000,51
PH166716000,46
PH166717000,29
PH166718000,42
PH166719000,31
PH166720000,46
PH166721000,36
PH166722000,45
PH166723000,58
PH166724000,21
PH166725000,43
PH166727000,30
PH166801000,30
PH166802000,28
PH166803000,20
PH166804000,23
PH166805000,17
PH166806000,24
PH166807000,26
PH166808000,23
PH166809000,29
PH166810000,33
PH166811000,29
PH166812000,33
PH166813000,20
PH166814000,38
PH166815000,37
PH166816000,37
PH166817000,31
PH166818000,26
PH166819000,16
PH168501000,55
PH168502000,55
PH168503000,57
PH168504000,54
PH168505000,54
PH168506000,46
PH168507000,56
PH174001000,7
PH174002000,22
PH174003000,16
PH174004000,10
PH174005000,12
PH174006000,17
PH175101000,32
PH175102000,31
PH175103000,22
PH175104000,14
PH175105000,34
PH175106000,17
PH175107000,29
PH175108000,31
PH175109000,28
PH175110000,21
PH175111000,35
PH175201000,22
PH175202000,19
PH175203000,25
PH175204000,39
PH175205000,7
PH175206000,18
PH175207000,35
PH175208000,20
PH175209000,17
PH175210000,29
PH175211000,11
PH175212000,21
PH175213000,14
PH175214000,15
PH175215000,18
PH175301000,22
PH175302000,33
PH175303000,27
PH175304000,38
PH175305000,30
PH175306000,26
PH175307000,34
PH175308000,22
PH175309000,23
PH175310000,13
PH175311000,30
PH175312000,27
PH175313000,39
PH175314000,15
PH175315000,20
PH175316000,7
PH175317000,36
PH175318000,20
PH175319000,30
PH175320000,33
PH175321000,
PH175322000,23
PH175323000,36
PH175324000,32
PH175901000,35
PH175902000,30
PH175903000,38
PH175904000,35
PH175905000,27
PH175906000,47
PH175907000,27
PH175908000,37
PH175909000,15
PH175910000,26
PH175911000,33
PH175912000,30
PH175913000,35
PH175914000,41
PH175915000,36
PH175916000,30
PH175917000,26
