pcode,Poverty_incidence
PH012801000,17
PH012802000,11
PH012803000,14
PH012804000,11
PH012805000,11
PH012806000,13
PH012807000,14
PH012808000,12
PH012809000,14
PH012810000,21
PH012811000,15
PH012812000,9
PH012813000,15
PH012814000,16
PH012815000,15
PH012816000,11
PH012817000,12
PH012818000,13
PH012819000,14
PH012820000,11
PH012821000,12
PH012822000,13
PH012823000,13
PH012901000,23
PH012902000,18
PH012903000,17
PH012904000,17
PH012905000,18
PH012906000,16
PH012907000,14
PH012908000,22
PH012909000,18
PH012910000,19
PH012911000,18
PH012912000,18
PH012913000,17
PH012914000,16
PH012915000,21
PH012916000,18
PH012917000,21
PH012918000,15
PH012919000,16
PH012920000,16
PH012921000,13
PH012922000,14
PH012923000,14
PH012924000,18
PH012925000,19
PH012926000,15
PH012927000,17
PH012928000,16
PH012929000,23
PH012930000,17
PH012931000,21
PH012932000,19
PH012933000,18
PH012934000,13
PH013301000,10
PH013302000,12
PH013303000,9
PH013304000,16
PH013305000,11
PH013306000,12
PH013307000,10
PH013308000,13
PH013309000,11
PH013310000,10
PH013311000,10
PH013312000,12
PH013313000,12
PH013314000,8
PH013315000,13
PH013316000,10
PH013317000,11
PH013318000,14
PH013319000,11
PH013320000,12
PH015501000,12
PH015502000,13
PH015503000,12
PH015504000,11
PH015505000,13
PH015506000,10
PH015507000,11
PH015508000,12
PH015509000,13
PH015510000,12
PH015511000,13
PH015512000,10
PH015513000,10
PH015514000,14
PH015515000,14
PH015516000,12
PH015517000,11
PH015518000,10
PH015519000,13
PH015520000,12
PH015521000,10
PH015522000,11
PH015523000,13
PH015524000,13
PH015525000,12
PH015526000,12
PH015527000,13
PH015528000,11
PH015529000,11
PH015530000,11
PH015531000,11
PH015532000,13
PH015533000,11
PH015534000,12
PH015535000,13
PH015536000,11
PH015537000,13
PH015538000,12
PH015539000,10
PH015540000,10
PH015541000,11
PH015542000,13
PH015543000,10
PH015544000,12
PH015545000,15
PH015546000,11
PH015547000,11
PH015548000,11
PH020901000,16
PH020902000,34
PH020903000,16
PH020904000,21
PH020905000,30
PH020906000,18
PH021501000,20
PH021502000,18
PH021503000,18
PH021504000,25
PH021505000,21
PH021506000,21
PH021507000,17
PH021508000,18
PH021509000,47
PH021510000,17
PH021511000,14
PH021512000,19
PH021513000,16
PH021514000,13
PH021515000,14
PH021516000,15
PH021517000,13
PH021518000,26
PH021519000,20
PH021520000,15
PH021521000,18
PH021522000,17
PH021523000,20
PH021524000,17
PH021525000,16
PH021526000,22
PH021527000,22
PH021528000,17
PH021529000,9
PH023101000,15
PH023102000,17
PH023103000,13
PH023104000,23
PH023105000,14
PH023106000,19
PH023107000,14
PH023108000,17
PH023109000,18
PH023110000,25
PH023111000,45
PH023112000,17
PH023113000,16
PH023114000,17
PH023115000,12
PH023116000,10
PH023117000,29
PH023118000,16
PH023119000,18
PH023120000,19
PH023121000,48
PH023122000,24
PH023123000,15
PH023124000,18
PH023125000,16
PH023126000,15
PH023127000,14
PH023128000,27
PH023129000,14
PH023130000,16
PH023131000,30
PH023132000,12
PH023133000,24
PH023134000,31
PH023135000,14
PH023136000,23
PH023137000,20
PH025001000,38
PH025002000,11
PH025003000,9
PH025004000,10
PH025005000,8
PH025006000,16
PH025007000,14
PH025008000,17
PH025009000,22
PH025010000,32
PH025011000,21
PH025012000,23
PH025013000,9
PH025014000,9
PH025015000,33
PH025701000,18
PH025702000,15
PH025703000,15
PH025704000,13
PH025705000,12
PH025706000,26
PH030801000,3
PH030802000,9
PH030803000,4
PH030804000,5
PH030805000,10
PH030806000,5
PH030807000,2
PH030808000,12
PH030809000,7
PH030810000,9
PH030811000,7
PH030812000,4
PH031401000,7
PH031402000,4
PH031403000,5
PH031404000,4
PH031405000,5
PH031406000,5
PH031407000,5
PH031408000,4
PH031409000,8
PH031410000,4
PH031411000,2
PH031412000,1
PH031413000,6
PH031414000,4
PH031415000,6
PH031416000,10
PH031417000,6
PH031418000,4
PH031419000,11
PH031420000,5
PH031421000,12
PH031422000,7
PH031423000,4
PH031424000,24
PH034901000,18
PH034902000,16
PH034903000,10
PH034904000,15
PH034905000,28
PH034906000,21
PH034907000,24
PH034908000,12
PH034909000,18
PH034910000,15
PH034911000,20
PH034912000,17
PH034913000,25
PH034914000,16
PH034915000,18
PH034916000,18
PH034917000,15
PH034918000,16
PH034919000,16
PH034920000,19
PH034921000,15
PH034922000,24
PH034923000,18
PH034924000,18
PH034925000,12
PH034926000,14
PH034927000,12
PH034928000,15
PH034929000,18
PH034930000,17
PH034931000,28
PH034932000,18
PH035401000,1
PH035402000,4
PH035403000,7
PH035404000,4
PH035405000,6
PH035406000,6
PH035407000,3
PH035408000,5
PH035409000,1
PH035410000,4
PH035411000,4
PH035412000,8
PH035413000,3
PH035414000,5
PH035415000,7
PH035416000,2
PH035417000,6
PH035418000,4
PH035419000,6
PH035420000,4
PH035421000,2
PH035422000,6
PH036901000,9
PH036902000,4
PH036903000,9
PH036904000,14
PH036905000,6
PH036906000,10
PH036907000,6
PH036908000,12
PH036909000,11
PH036910000,10
PH036911000,10
PH036912000,13
PH036913000,11
PH036914000,10
PH036915000,12
PH036916000,8
PH036917000,11
PH036918000,23
PH037101000,23
PH037102000,17
PH037103000,15
PH037104000,7
PH037105000,13
PH037106000,17
PH037107000,3
PH037108000,20
PH037109000,11
PH037110000,13
PH037111000,14
PH037112000,11
PH037113000,18
PH037114000,11
PH037701000,9
PH037702000,18
PH037703000,13
PH037704000,13
PH037705000,13
PH037706000,14
PH037707000,10
PH037708000,13
PH041001000,16
PH041002000,6
PH041003000,8
PH041004000,10
PH041005000,3
PH041006000,4
PH041007000,19
PH041008000,23
PH041009000,8
PH041010000,8
PH041011000,31
PH041012000,13
PH041013000,17
PH041014000,5
PH041015000,25
PH041016000,6
PH041017000,6
PH041018000,4
PH041019000,15
PH041020000,13
PH041021000,14
PH041022000,8
PH041023000,21
PH041024000,10
PH041025000,10
PH041026000,2
PH041027000,6
PH041028000,5
PH041029000,6
PH041030000,10
PH041031000,5
PH041032000,14
PH041033000,31
PH041034000,19
PH042101000,5
PH042102000,1
PH042103000,1
PH042104000,3
PH042105000,5
PH042106000,4
PH042107000,7
PH042108000,3
PH042109000,1
PH042110000,3
PH042111000,5
PH042112000,13
PH042113000,8
PH042114000,5
PH042115000,8
PH042116000,3
PH042117000,7
PH042118000,5
PH042119000,6
PH042120000,6
PH042121000,9
PH042122000,4
PH042123000,6
PH043401000,2
PH043402000,3
PH043403000,7
PH043404000,11
PH043405000,3
PH043406000,13
PH043407000,14
PH043408000,15
PH043409000,14
PH043410000,9
PH043411000,2
PH043412000,7
PH043413000,8
PH043414000,22
PH043415000,19
PH043416000,15
PH043417000,10
PH043418000,7
PH043419000,7
PH043420000,12
PH043421000,16
PH043422000,8
PH043423000,4
PH043424000,5
PH043425000,1
PH043426000,5
PH043427000,20
PH043428000,1
PH043429000,11
PH043430000,8
PH045601000,21
PH045602000,13
PH045603000,37
PH045605000,46
PH045606000,50
PH045607000,28
PH045608000,12
PH045610000,30
PH045615000,13
PH045616000,32
PH045617000,43
PH045618000,29
PH045619000,13
PH045620000,13
PH045621000,57
PH045622000,23
PH045623000,5
PH045624000,6
PH045625000,30
PH045627000,26
PH045628000,39
PH045629000,26
PH045630000,12
PH045631000,42
PH045632000,55
PH045633000,37
PH045634000,28
PH045635000,16
PH045636000,30
PH045637000,26
PH045638000,29
PH045639000,15
PH045640000,54
PH045641000,24
PH045642000,45
PH045644000,43
PH045645000,23
PH045646000,30
PH045647000,9
PH045648000,13
PH045649000,23
PH045801000,3
PH045802000,4
PH045803000,9
PH045804000,6
PH045805000,0
PH045806000,9
PH045807000,19
PH045808000,5
PH045809000,3
PH045810000,10
PH045811000,3
PH045812000,10
PH045813000,4
PH045814000,5
PH050501000,29
PH050502000,29
PH050503000,17
PH050504000,26
PH050505000,46
PH050506000,17
PH050507000,37
PH050508000,29
PH050509000,22
PH050510000,32
PH050511000,38
PH050512000,36
PH050513000,45
PH050514000,26
PH050515000,50
PH050516000,25
PH050517000,23
PH050518000,27
PH051601000,25
PH051602000,40
PH051603000,11
PH051604000,23
PH051605000,23
PH051606000,29
PH051607000,27
PH051608000,24
PH051609000,21
PH051610000,30
PH051611000,17
PH051612000,32
PH051701000,26
PH051702000,51
PH051703000,40
PH051704000,27
PH051705000,34
PH051706000,41
PH051707000,33
PH051708000,33
PH051709000,18
PH051710000,24
PH051711000,46
PH051712000,37
PH051713000,33
PH051714000,56
PH051715000,27
PH051716000,23
PH051717000,37
PH051718000,38
PH051719000,36
PH051720000,27
PH051721000,27
PH051722000,40
PH051723000,29
PH051724000,15
PH051725000,31
PH051726000,32
PH051727000,44
PH051728000,24
PH051729000,48
PH051730000,37
PH051731000,37
PH051732000,34
PH051733000,29
PH051734000,33
PH051735000,58
PH051736000,27
PH051737000,47
PH052001000,37
PH052002000,31
PH052003000,23
PH052004000,40
PH052005000,32
PH052006000,43
PH052007000,31
PH052008000,29
PH052009000,32
PH052010000,39
PH052011000,16
PH054101000,43
PH054102000,43
PH054103000,46
PH054104000,46
PH054105000,40
PH054106000,49
PH054107000,52
PH054108000,49
PH054109000,44
PH054110000,44
PH054111000,22
PH054112000,49
PH054113000,43
PH054114000,57
PH054115000,44
PH054116000,40
PH054117000,47
PH054118000,40
PH054119000,38
PH054120000,52
PH054121000,50
PH056202000,29
PH056203000,32
PH056204000,30
PH056205000,28
PH056206000,42
PH056207000,44
PH056208000,25
PH056209000,28
PH056210000,37
PH056211000,44
PH056212000,45
PH056213000,42
PH056214000,30
PH056215000,35
PH056216000,19
PH060401000,19
PH060402000,25
PH060403000,11
PH060404000,23
PH060405000,18
PH060406000,20
PH060407000,5
PH060408000,8
PH060409000,26
PH060410000,33
PH060411000,18
PH060412000,12
PH060413000,19
PH060414000,25
PH060415000,14
PH060416000,9
PH060417000,21
PH060601000,18
PH060602000,23
PH060603000,11
PH060604000,22
PH060605000,24
PH060606000,22
PH060607000,20
PH060608000,15
PH060609000,25
PH060610000,21
PH060611000,20
PH060612000,26
PH060613000,8
PH060614000,35
PH060615000,24
PH060616000,21
PH060617000,22
PH060618000,30
PH061901000,33
PH061902000,28
PH061903000,24
PH061904000,33
PH061905000,31
PH061906000,35
PH061907000,39
PH061908000,26
PH061909000,30
PH061910000,29
PH061911000,36
PH061912000,29
PH061913000,28
PH061914000,12
PH061915000,29
PH061916000,28
PH061917000,33
PH063001000,30
PH063002000,26
PH063003000,27
