Local_name,International_Name,year
Reming,Durian,2006
Frank,Fengshen,2008
Ondoy,ketsana,2009
Basyang,conson,2010
Pedring,Nesat,2011
Pablo,Bopha,2012
Maring,Trami,2013
Odette,Usagi,2013
Santi,Nari,2013
Vinta/rosa,Krosa,2013
yolanda,Haiyan,2013
labuyo,Utor,2013
Agaton,Lingling,2014
Glenda,Rammasun,2014
Luis,Kalmaegi,2014
Mario,Fung-wong,2014
Ruby,Hagupit,2014
amang,Mekkhala,2015
Ineng,Goni,2015
Dodong,Noul,2015
Kabayan,Mujigae,2015
Lando,Koppu,2015
Nona,Melor,2015
Seniang,JANGMI,2015
Onyok,TD 29W,2015
Egay,LINFA,2015
Lawin,Haima,2016
Nina,Nock-Ten,2016
karen,Sarika,2016
Marce,Tokage,2016
Ferdie,Meranti,2016
Ompong,Mangkhut,2018
ROSITA,Yutu,2018
DOMENG,Maliksi,2018
URSULA,Phanfone,2019
TISOY,Kammuri,2019
QUIEL,Nakri,2019
Ambo,Vongfong,2020
PEPITO,Saudel,2020
QUINTA,Molave,2020
Rolly,Goni,2020
ULYSSES,Vamco,2020
