pcode_level4;perc_u5;perc_o65
PH012801001;0.127232143;0.055803571
PH012802001;0.143024619;0.064478312
PH012802002;0.119047619;0.053258145
PH012802003;0.102618542;0.062986553
PH012802004;0.076398363;0.095497954
PH012802005;0.111753372;0.090558767
PH012802006;0.094798658;0.09647651
PH012802007;0.094775213;0.087484812
PH012802008;0.11391129;0.047379032
PH012802009;0.109336609;0.073710074
PH012802011;0.113861386;0.068316832
PH012802012;0.107296137;0.080114449
PH012802013;0.09010712;0.083805923
PH012802014;0.0816;0.0896
PH012802015;0.082484725;0.081466395
PH012802016;0.124528302;0.088679245
PH012802017;0.097727273;0.104545455
PH012802018;0.105851979;0.065404475
PH012802019;0.102631579;0.053947368
PH012802020;0.091515729;0.081982841
PH012802021;0.109057301;0.061922366
PH012802022;0.112084063;0.103327496
PH012802024;0.100732601;0.073260073
PH012802025;0.087591241;0.102189781
PH012802027;0.08056266;0.089514066
PH012802028;0.07925072;0.110951009
PH012802030;0.092936803;0.130111524
PH012802031;0.1;0.094871795
PH012802033;0.080519481;0.093506494
PH012802034;0.093802345;0.090452261
PH012802036;0.095419847;0.09351145
PH012802037;0.102272727;0.073863636
PH012802039;0.108626198;0.076677316
PH012802040;0.078078078;0.135135135
PH012802041;0.097072419;0.081664099
PH012802042;0.125121242;0.0785645
PH012802044;0.113636364;0.064393939
PH012802045;0.096491228;0.122807018
PH012802046;0.078804348;0.089673913
PH012802047;0.095354523;0.08801956
PH012802048;0.061904762;0.104761905
PH012802050;0.118709677;0.04516129
PH012802051;0.113530327;0.116640747
PH012802052;0.098245614;0.076023392
PH012803001;0.117701576;0.095458758
PH012803002;0.09508547;0.101495726
PH012803003;0.116395494;0.075093867
PH012803004;0.103626943;0.065877128
PH012803005;0.096875;0.065625
PH012803006;0.099080695;0.075587334
PH012803007;0.123445826;0.092362345
PH012803008;0.073298429;0.104712042
PH012803009;0.10729927;0.089051095
PH012803011;0.11328125;0.054036458
PH012803012;0.106824926;0.083086053
PH012803013;0.103924419;0.082122093
PH012803016;0.122875817;0.079738562
PH012803017;0.131504923;0.055555556
PH012803018;0.132539683;0.076190476
PH012803020;0.123893805;0.083185841
PH012803021;0.111209179;0.077669903
PH012803022;0.116144019;0.077816492
PH012803023;0.1264637;0.085480094
PH012803025;0.102857143;0.083809524
PH012803026;0.094086022;0.093413978
PH012803027;0.10462963;0.060185185
PH012803028;0.110169492;0.06440678
PH012803029;0.110695587;0.080777861
PH012803030;0.126777984;0.074829932
PH012803031;0.084309133;0.081967213
PH012803032;0.077102804;0.098130841
PH012803034;0.118997912;0.083507307
PH012803035;0.127721335;0.084179971
PH012803036;0.116559486;0.079581994
PH012803037;0.108923885;0.087926509
PH012804001;0.111046848;0.087333719
PH012804002;0.122758621;0.085517241
PH012804003;0.086486486;0.083783784
PH012804004;0.120051914;0.085009734
PH012804005;0.115023474;0.107981221
PH012804006;0.107763023;0.102145046
PH012804007;0.114;0.089
PH012804008;0.108974359;0.073260073
PH012804009;0.101748808;0.095389507
PH012804010;0.098430813;0.07703281
PH012804011;0.125329815;0.133245383
PH012804012;0.101102941;0.084558824
PH012804014;0.085923218;0.093235832
PH012804015;0.107692308;0.089230769
PH012805001;0.098441926;0.097733711
PH012805002;0.112845528;0.084227642
PH012805003;0.101206083;0.079181961
PH012805004;0.096710526;0.110526316
PH012805005;0.099206349;0.076719577
PH012805006;0.100985222;0.079638752
PH012805007;0.095599393;0.086494689
PH012805009;0.075872534;0.091047041
PH012805010;0.102930914;0.080949058
PH012805011;0.139325843;0.04494382
PH012805012;0.091111111;0.096666667
PH012805013;0.112074716;0.083388926
PH012805014;0.117757009;0.095327103
PH012805015;0.111342352;0.084287201
PH012805016;0.119521912;0.073041169
PH012805017;0.076595745;0.106382979
PH012805018;0.091005291;0.106878307
PH012805019;0.111764706;0.075
PH012805020;0.093344156;0.081980519
PH012805021;0.109399894;0.070100903
PH012805022;0.095435685;0.085477178
PH012805023;0.089644513;0.100463679
PH012805024;0.089641434;0.105577689
PH012805025;0.121761658;0.06044905
PH012805026;0.091375291;0.090909091
PH012805027;0.106007067;0.120141343
PH012805028;0.105500451;0.087466186
PH012805029;0.121473354;0.076802508
PH012805030;0.086797066;0.11002445
PH012805031;0.113360324;0.085598612
PH012805032;0.111245466;0.071342201
PH012805033;0.117647059;0.064241486
PH012805034;0.106936416;0.083092486
PH012805035;0.117293233;0.091729323
PH012805036;0.102184637;0.062015504
PH012805037;0.097938144;0.086597938
PH012805038;0.107537688;0.061306533
PH012805039;0.084714549;0.138121547
PH012805040;0.108910891;0.086408641
PH012805041;0.106936416;0.080924855
PH012805042;0.089576547;0.087947883
PH012805043;0.136397331;0.068198666
PH012805044;0.107364685;0.083111505
PH012806001;0.102136182;0.071428571
PH012806002;0.101239669;0.088842975
PH012806005;0.117891817;0.05963939
PH012806006;0.105762217;0.066374909
PH012806007;0.14340589;0.060179257
