Region,Province,Municipality_City,Mun_Code,Housing_Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall
Region IX (Zamboanga Peninsula),Zamboanga Del Sur,Tigbao,PH097344000,4591,970,2585,0,12,1019,0,0,0,0
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Alicia,PH098301000,7630,962,2050,1,54,4543,4,0,2,3
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Buug,PH098302000,8116,2625,3739,0,31,1671,0,0,0,0
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Diplahan,PH098303000,7605,2270,3408,15,39,1795,4,19,7,10
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Imelda,PH098304000,6507,1535,2508,2,27,2354,13,0,8,4
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Ipil (Capital),PH098305000,17616,5653,4729,6,184,6964,13,2,7,5
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Kabasalan,PH098306000,9473,2324,2127,3,249,4716,20,0,4,5
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Mabuhay,PH098307000,6783,424,1440,1,92,4811,1,0,1,0
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Malangas,PH098308000,7962,2288,2168,1,65,3185,1,1,1,1
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Naga,PH098309000,8433,1983,3029,0,79,3320,7,0,1,3
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Olutanga,PH098310000,6523,871,1825,2,55,3707,34,0,0,0
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Payao,PH098311000,6921,951,1704,2,94,4145,4,1,3,3
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Roseller Lim,PH098312000,10443,1692,4466,1,41,4162,2,0,2,1
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Siay,PH098313000,9128,1702,2781,4,116,4436,6,3,16,4
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Talusan,PH098314000,5101,520,1198,0,49,3321,0,0,3,0
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Titay,PH098315000,11087,3425,3744,6,69,3753,9,2,15,4
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Tungawan,PH098316000,9418,1879,2352,2,107,5024,3,3,1,4
Region IX (Zamboanga Peninsula),City of Isabela (Not a Province),City of Isabela,PH099701000,20127,8085,8158,11,72,3732,14,0,5,2
Region X (Northern Mindanao),Bukidnon,Baungon,PH101301000,7530,2126,5025,43,3,258,5,0,9,6
Region X (Northern Mindanao),Bukidnon,Damulog,PH101302000,6718,1382,3473,1,3,1830,0,0,5,0
Region X (Northern Mindanao),Bukidnon,Dangcagan,PH101303000,5163,2436,2568,3,1,112,1,0,3,0
Region X (Northern Mindanao),Bukidnon,Don Carlos,PH101304000,14296,6871,7052,37,1,171,1,1,12,2
Region X (Northern Mindanao),Bukidnon,Impasug-Ong,PH101305000,9734,3491,5473,10,6,526,4,0,58,0
Region X (Northern Mindanao),Bukidnon,Kadingilan,PH101306000,7437,2396,4717,2,5,251,1,2,46,0
Region X (Northern Mindanao),Bukidnon,Kalilangan,PH101307000,8733,2813,5609,10,1,250,0,0,4,2
Region X (Northern Mindanao),Bukidnon,Kibawe,PH101308000,8825,3226,4715,1,5,844,0,2,6,0
Region X (Northern Mindanao),Bukidnon,Kitaotao,PH101309000,10874,2575,6170,7,20,2062,0,1,1,2
Region X (Northern Mindanao),Bukidnon,Lantapan,PH101310000,12767,5069,7122,6,6,428,6,0,42,0
Region X (Northern Mindanao),Bukidnon,Libona,PH101311000,9919,3234,6182,39,4,341,7,1,47,18
Region X (Northern Mindanao),Bukidnon,City of Malaybalay (Capital),PH101312000,38440,20850,15071,104,34,1900,19,3,89,28
Region X (Northern Mindanao),Bukidnon,Malitbog,PH101313000,4974,1228,3265,3,3,454,0,0,3,0
Region X (Northern Mindanao),Bukidnon,Manolo Fortich,PH101314000,21135,10064,9793,61,34,831,6,4,87,39
Region X (Northern Mindanao),Bukidnon,Maramag,PH101315000,22712,11964,9828,72,7,515,9,0,18,18
Region X (Northern Mindanao),Bukidnon,Pangantucan,PH101316000,11326,3857,7157,11,3,237,1,0,4,2
Region X (Northern Mindanao),Bukidnon,Quezon,PH101317000,22903,9334,12327,16,2,994,3,0,38,2
Region X (Northern Mindanao),Bukidnon,San Fernando,PH101318000,12312,2564,7384,15,6,2192,23,0,86,8
Region X (Northern Mindanao),Bukidnon,Sumilao,PH101319000,5546,2774,2463,7,2,169,1,0,27,4
Region X (Northern Mindanao),Bukidnon,Talakag,PH101320000,14012,2753,10531,32,6,507,21,0,18,23
Region X (Northern Mindanao),Bukidnon,City of Valencia,PH101321000,43720,22982,18385,148,62,1661,16,3,22,12
Region X (Northern Mindanao),Bukidnon,Cabanglasan,PH101322000,6919,2185,4218,0,2,484,1,0,0,1
Region X (Northern Mindanao),Camiguin,Catarman,PH101801000,4060,2204,1638,0,7,202,1,0,6,0
Region X (Northern Mindanao),Camiguin,Guinsiliban,PH101802000,1452,524,692,0,3,225,0,0,0,0
Region X (Northern Mindanao),Camiguin,Mahinog,PH101803000,3134,1690,1216,3,7,191,1,0,1,1
Region X (Northern Mindanao),Camiguin,Mambajao (Capital),PH101804000,8542,5620,2682,2,6,174,0,1,0,2
Region X (Northern Mindanao),Camiguin,Sagay,PH101805000,2875,1021,1271,2,22,529,1,0,2,0
Region X (Northern Mindanao),Lanao Del Norte,Bacolod,PH103501000,5104,1471,2749,1,11,849,2,0,10,8
Region X (Northern Mindanao),Lanao Del Norte,Baloi,PH103502000,6946,2679,4126,0,6,117,1,1,4,3
Region X (Northern Mindanao),Lanao Del Norte,Baroy,PH103503000,5528,2620,1663,6,105,1112,12,0,0,0
Region X (Northern Mindanao),Lanao Del Norte,City of Iligan,PH103504000,74647,43754,26258,124,86,4036,19,7,85,105
Region X (Northern Mindanao),Lanao Del Norte,Kapatagan,PH103505000,13416,5119,3717,6,342,4072,24,3,9,7
Region X (Northern Mindanao),Lanao Del Norte,Sultan Naga Dimaporo (Karomatan),PH103506000,11422,2624,4981,7,70,3682,14,2,7,15
Region X (Northern Mindanao),Lanao Del Norte,Kauswagan,PH103507000,5255,1885,2654,6,27,663,8,1,8,3
Region X (Northern Mindanao),Lanao Del Norte,Kolambugan,PH103508000,6197,2180,1921,2,93,1994,5,0,1,1
Region X (Northern Mindanao),Lanao Del Norte,Lala,PH103509000,15051,7575,2814,17,486,4066,52,4,9,9
Region X (Northern Mindanao),Lanao Del Norte,Linamon,PH103510000,4195,2033,1830,2,14,311,1,0,1,1
Region X (Northern Mindanao),Lanao Del Norte,Magsaysay,PH103511000,3833,660,1264,0,40,1815,0,0,5,49
Region X (Northern Mindanao),Lanao Del Norte,Maigo,PH103512000,4781,1763,1673,3,100,1230,3,1,7,1
Region X (Northern Mindanao),Lanao Del Norte,Matungao,PH103513000,1541,386,1119,0,0,36,0,0,0,0
Region X (Northern Mindanao),Lanao Del Norte,Munai,PH103514000,4893,390,3777,0,31,524,0,4,162,0
Region X (Northern Mindanao),Lanao Del Norte,Nunungan,PH103515000,3456,666,1735,0,21,1017,10,0,0,0
Region X (Northern Mindanao),Lanao Del Norte,Pantao Ragat,PH103516000,2335,635,1454,0,2,189,0,0,0,2
Region X (Northern Mindanao),Lanao Del Norte,Poona Piagapo,PH103517000,3648,387,3161,0,0,89,1,0,2,0
Region X (Northern Mindanao),Lanao Del Norte,Salvador,PH103518000,6830,2555,1308,0,138,2806,3,0,1,4
Region X (Northern Mindanao),Lanao Del Norte,Sapad,PH103519000,4354,1364,1226,11,86,1653,12,0,0,0
Region X (Northern Mindanao),Lanao Del Norte,Tagoloan,PH103520000,2546,194,2150,0,11,140,0,0,2,0
Region X (Northern Mindanao),Lanao Del Norte,Tangcal,PH103521000,2227,217,1694,0,4,312,0,0,0,0
Region X (Northern Mindanao),Lanao Del Norte,Tubod (Capital),PH103522000,10949,3942,4298,1,103,2596,3,0,0,0
Region X (Northern Mindanao),Lanao Del Norte,Pantar,PH103523000,2623,653,1611,0,8,348,0,0,2,1
Region X (Northern Mindanao),Misamis Occidental,Aloran,PH104201000,6313,2854,1644,16,146,1637,4,0,1,1
Region X (Northern Mindanao),Misamis Occidental,Baliangao,PH104202000,3841,1009,897,10,86,1824,8,0,2,0
Region X (Northern Mindanao),Misamis Occidental,Bonifacio,PH104203000,7201,1726,3013,2,60,2376,2,0,1,0
Region X (Northern Mindanao),Misamis Occidental,Calamba,PH104204000,4937,2011,1788,1,25,1095,1,0,0,1
Region X (Northern Mindanao),Misamis Occidental,Clarin,PH104205000,8293,3825,2843,5,55,1524,4,0,6,1
Region X (Northern Mindanao),Misamis Occidental,Concepcion,PH104206000,2457,86,1285,0,7,1077,0,0,0,1
Region X (Northern Mindanao),Misamis Occidental,Jimenez,PH104207000,6307,3241,1859,0,65,1130,0,0,1,0
Region X (Northern Mindanao),Misamis Occidental,Lopez Jaena,PH104208000,5803,1842,2150,1,65,1711,2,0,3,0
Region X (Northern Mindanao),Misamis Occidental,City of Oroquieta (Capital),PH104209000,16340,7759,5346,8,259,2900,6,1,20,6
Region X (Northern Mindanao),Misamis Occidental,City of Ozamiz,PH104210000,29626,12769,13905,29,52,2740,31,5,29,16
Region X (Northern Mindanao),Misamis Occidental,Panaon,PH104211000,2406,1114,760,2,21,500,1,0,0,0
Region X (Northern Mindanao),Misamis Occidental,Plaridel,PH104212000,9151,3593,1435,14,485,3583,10,2,11,4
Region X (Northern Mindanao),Misamis Occidental,Sapang Dalaga,PH104213000,4545,1032,1740,1,20,1730,10,0,8,3
Region X (Northern Mindanao),Misamis Occidental,Sinacaban,PH104214000,4088,1603,1627,18,25,744,16,1,13,24
Region X (Northern Mindanao),Misamis Occidental,City of Tangub,PH104215000,12868,4543,5258,12,67,2959,5,3,0,0
Region X (Northern Mindanao),Misamis Occidental,Tudela,PH104216000,6468,2621,2331,1,47,1455,6,0,1,1
Region X (Northern Mindanao),Misamis Occidental,Don Victoriano Chiongbian  (Don Mariano Marcos),PH104217000,2479,318,1778,4,3,357,1,0,4,9
Region X (Northern Mindanao),Misamis Oriental,Alubijid,PH104301000,7627,2474,3024,14,54,1971,7,0,4,0
Region X (Northern Mindanao),Misamis Oriental,Balingasag,PH104302000,14514,6802,5360,12,63,2154,8,0,12,7
Region X (Northern Mindanao),Misamis Oriental,Balingoan,PH104303000,2243,931,1153,12,5,121,3,1,0,0
Region X (Northern Mindanao),Misamis Oriental,Binuangan,PH104304000,1523,669,717,1,0,120,2,1,3,5
Region X (Northern Mindanao),Misamis Oriental,City of Cagayan De Oro (Capital),PH104305000,158021,107820,45558,281,140,3004,44,19,152,96
Region X (Northern Mindanao),Misamis Oriental,Claveria,PH104306000,10985,3034,6808,14,12,989,4,1,9,4
Region X (Northern Mindanao),Misamis Oriental,City of El Salvador,PH104307000,11769,5093,3879,14,81,2590,12,1,11,8
Region X (Northern Mindanao),Misamis Oriental,City of Gingoog,PH104308000,26307,9692,13039,119,86,3023,65,4,34,39
Region X (Northern Mindanao),Misamis Oriental,Gitagum,PH104309000,3852,1585,1480,5,12,752,0,0,1,0
Region X (Northern Mindanao),Misamis Oriental,Initao,PH104310000,7361,2891,3174,7,28,1201,2,1,9,6
Region X (Northern Mindanao),Misamis Oriental,Jasaan,PH104311000,11933,6092,4681,14,19,1030,0,2,18,3
Region X (Northern Mindanao),Misamis Oriental,Kinoguitan,PH104312000,2984,1052,1324,0,19,584,0,0,2,0
Region X (Northern Mindanao),Misamis Oriental,Lagonglong,PH104313000,4474,1975,1514,1,25,887,3,0,5,4
Region X (Northern Mindanao),Misamis Oriental,Laguindingan,PH104314000,5604,2864,2096,1,18,585,1,0,0,0
Region X (Northern Mindanao),Misamis Oriental,Libertad,PH104315000,2707,1143,1051,1,22,460,4,0,0,0
Region X (Northern Mindanao),Misamis Oriental,Lugait,PH104316000,4372,2051,2039,16,10,224,2,0,1,1
Region X (Northern Mindanao),Misamis Oriental,Magsaysay (Linugos),PH104317000,6970,2133,2539,69,80,2043,22,1,23,33
Region X (Northern Mindanao),Misamis Oriental,Manticao,PH104318000,6384,2545,3162,14,12,588,5,0,1,3
Region X (Northern Mindanao),Misamis Oriental,Medina,PH104319000,7060,3317,3088,26,14,556,6,1,6,3
Region X (Northern Mindanao),Misamis Oriental,Naawan,PH104320000,4663,1806,1853,6,6,720,0,4,152,94
Region X (Northern Mindanao),Misamis Oriental,Opol,PH104321000,13978,8023,4055,4,44,1772,2,2,6,4
Region X (Northern Mindanao),Misamis Oriental,Salay,PH104322000,6141,2454,2728,1,15,907,1,0,2,2
Region X (Northern Mindanao),Misamis Oriental,Sugbongcogon,PH104323000,1895,771,1083,0,2,36,0,0,1,0
Region X (Northern Mindanao),Misamis Oriental,Tagoloan,PH104324000,16661,7759,8137,36,12,580,2,1,29,27
Region X (Northern Mindanao),Misamis Oriental,Talisayan,PH104325000,5310,2125,2638,37,14,457,10,1,4,11
Region X (Northern Mindanao),Misamis Oriental,Villanueva,PH104326000,8518,4888,3008,7,17,534,2,0,12,12
Region XI (Davao Region),Davao Del Norte,Asuncion (Saug),PH112301000,13700,5118,6329,6,40,2035,2,0,19,7
Region XI (Davao Region),Davao Del Norte,Carmen,PH112303000,16611,7847,6177,19,62,2333,15,2,6,15
Region XI (Davao Region),Davao Del Norte,Kapalong,PH112305000,17150,7076,6497,14,55,3344,3,5,79,4
Region XI (Davao Region),Davao Del Norte,New Corella,PH112314000,12367,4946,6310,1,9,1036,0,0,0,0
Region XI (Davao Region),Davao Del Norte,City of Panabo,PH112315000,41965,26374,12313,22,162,2704,7,1,13,15
Region XI (Davao Region),Davao Del Norte,Island Garden City of Samal,PH112317000,25523,8737,14049,39,19,1977,4,5,187,45
Region XI (Davao Region),Davao Del Norte,Santo Tomas,PH112318000,26041,15521,8256,18,73,1903,5,1,8,8
Region XI (Davao Region),Davao Del Norte,City of Tagum (Capital),PH112319000,59296,38506,16456,31,183,3605,6,10,13,5
Region XI (Davao Region),Davao Del Norte,Talaingod,PH112322000,6137,734,2350,3,12,3013,10,1,0,0
Region XI (Davao Region),Davao Del Norte,Braulio E. Dujali,PH112323000,5367,2661,1994,9,16,639,1,0,3,0
Region XI (Davao Region),Davao Del Norte,San Isidro,PH112324000,6363,1602,4409,10,0,240,0,0,4,3
Region XI (Davao Region),Davao Del Sur,Bansalan,PH112401000,14826,7887,6404,34,7,359,3,0,12,4
Region XI (Davao Region),Davao Del Sur,City of Davao,PH112402000,400675,243070,138337,913,622,10961,151,59,223,388
Region XI (Davao Region),Davao Del Sur,City of Digos (Capital),PH112403000,41299,24090,13809,69,181,2455,24,29,78,21
Region XI (Davao Region),Davao Del Sur,Hagonoy,PH112404000,12996,5871,4832,7,79,2007,6,2,9,2
Region XI (Davao Region),Davao Del Sur,Kiblawan,PH112406000,13425,2203,6556,0,36,4543,0,1,3,0
Region XI (Davao Region),Davao Del Sur,Magsaysay,PH112407000,13472,5195,5624,5,41,2436,10,0,4,0
Region XI (Davao Region),Davao Del Sur,Malalag,PH112408000,10025,2985,4365,2,36,2552,3,0,0,1
Region XI (Davao Region),Davao Del Sur,Matanao,PH112410000,13787,5498,5016,3,88,3114,5,1,4,4
Region XI (Davao Region),Davao Del Sur,Padada,PH112411000,6869,3268,2429,4,51,1040,1,1,1,0
Region XI (Davao Region),Davao Del Sur,Santa Cruz,PH112412000,22167,9364,9720,80,81,2510,13,0,9,28
Region XI (Davao Region),Davao Del Sur,Sulop,PH112414000,8550,2537,4009,3,37,1859,3,0,0,0
Region XI (Davao Region),Davao Oriental,Baganga,PH112501000,13259,5935,6166,96,23,843,22,5,46,87
Region XI (Davao Region),Davao Oriental,Banaybanay,PH112502000,9251,3737,2539,8,198,2701,9,0,6,4
Region XI (Davao Region),Davao Oriental,Boston,PH112503000,3212,1375,1602,15,10,187,1,1,7,1
Region XI (Davao Region),Davao Oriental,Caraga,PH112504000,9094,1525,2838,2,121,4528,8,0,49,2
Region XI (Davao Region),Davao Oriental,Cateel,PH112505000,9694,4301,4070,47,28,973,20,45,122,14
Region XI (Davao Region),Davao Oriental,Governor Generoso,PH112506000,12448,4596,3754,15,189,3749,13,1,3,3
Region XI (Davao Region),Davao Oriental,Lupon,PH112507000,15210,5129,5914,2,261,3751,1,0,1,0
Region XI (Davao Region),Davao Oriental,Manay,PH112508000,9528,1664,1510,1,111,6192,1,0,16,0
Region XI (Davao Region),Davao Oriental,City of Mati (Capital),PH112509000,31853,10475,14008,137,195,6205,50,3,58,109
Region XI (Davao Region),Davao Oriental,San Isidro,PH112510000,7788,2705,3316,3,73,1595,2,0,2,0
Region XI (Davao Region),Davao Oriental,Tarragona,PH112511000,5632,978,2030,0,57,2346,1,0,3,8
Region XI (Davao Region),Compostela Valley,Compostela,PH118201000,18791,8678,8592,107,59,1167,5,1,13,19
Region XI (Davao Region),Compostela Valley,Laak (San Vicente),PH118202000,17401,4992,10019,41,13,2158,14,2,50,22
Region XI (Davao Region),Compostela Valley,Mabini (Do̱a Alicia),PH118203000,9618,3871,3421,0,96,2164,1,1,1,0
Region XI (Davao Region),Compostela Valley,Maco,PH118204000,18666,8308,8650,8,21,1386,2,1,9,3
Region XI (Davao Region),Compostela Valley,Maragusan (San Mariano),PH118205000,14022,6658,5799,4,30,1278,2,3,60,10
Region XI (Davao Region),Compostela Valley,Mawab,PH118206000,8272,4239,3572,8,20,304,3,1,8,2
Region XI (Davao Region),Compostela Valley,Monkayo,PH118207000,21308,7972,11024,585,11,793,69,5,55,122
Region XI (Davao Region),Compostela Valley,Montevista,PH118208000,9933,4128,5281,30,9,411,1,0,10,3
Region XI (Davao Region),Compostela Valley,Nabunturan (Capital),PH118209000,18810,9284,8457,24,40,749,4,0,5,6
Region XI (Davao Region),Compostela Valley,New Bataan,PH118210000,11579,6023,5094,16,11,299,11,1,49,31
Region XI (Davao Region),Compostela Valley,Pantukan,PH118211000,19132,6726,7444,119,214,4381,58,2,13,3
Region XI (Davao Region),Davao Occidental,Don Marcelino,PH118601000,11191,1214,979,0,268,8596,2,1,1,12
Region XI (Davao Region),Davao Occidental,Jose Abad Santos (Trinidad),PH118602000,17990,1689,391,0,754,15111,10,0,0,7
Region XI (Davao Region),Davao Occidental,Malita (Capital),PH118603000,28204,5306,5674,22,425,16457,9,12,9,30
Region XI (Davao Region),Davao Occidental,Santa Maria,PH118604000,13590,2865,3502,1,189,6909,4,0,14,4
Region XI (Davao Region),Davao Occidental,Sarangani,PH118605000,5632,1264,1507,0,41,2640,1,0,2,2
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Alamada,PH124701000,14481,3164,9750,21,19,1451,2,1,1,2
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Carmen,PH124702000,21810,5082,10336,9,83,6188,27,1,14,13
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Kabacan,PH124703000,19641,10298,5646,9,41,3547,1,0,1,0
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),City of Kidapawan (Capital),PH124704000,32921,19272,12346,35,15,944,5,0,16,15
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Libungan,PH124705000,11446,4823,5499,19,20,1035,9,0,4,0
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Magpet,PH124706000,11084,3808,6611,53,0,578,2,0,4,1
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Makilala,PH124707000,19170,9254,9135,3,6,587,0,0,10,0
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Matalam,PH124708000,18693,7568,8452,36,28,2459,9,1,4,12
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Midsayap,PH124709000,33698,15395,12259,44,265,5061,11,8,52,376
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),M'Lang,PH124710000,23008,10404,8815,26,233,3328,8,1,20,5
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Pigkawayan,PH124711000,15201,6447,6337,6,110,2195,1,0,9,17
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Pikit,PH124712000,35507,6471,10076,130,530,17431,596,4,74,21
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),President Roxas,PH124713000,10870,3664,5614,5,12,1513,1,1,6,5
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Tulunan,PH124714000,13500,4862,5558,0,42,2817,3,3,8,64
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Antipas,PH124715000,6063,2612,2958,5,11,454,2,0,3,0
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Banisilan,PH124716000,9625,2366,6449,8,16,742,2,0,1,2
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Aleosan,PH124717000,8803,2062,4919,5,21,1775,0,0,1,0
Region XII (SOCCSKSARGEN),Cotabato (North Cotabato),Arakan,PH124718000,10656,2095,6365,37,9,2045,21,0,3,1
Region XII (SOCCSKSARGEN),South Cotabato,Banga,PH126302000,20803,11134,6587,9,89,2885,0,1,3,0
Region XII (SOCCSKSARGEN),South Cotabato,City of General Santos (Dadiangas),PH126303000,143168,92522,37368,252,474,9922,86,9,141,174
Region XII (SOCCSKSARGEN),South Cotabato,City of Koronadal (Capital),PH126306000,42473,26776,11556,23,199,3626,7,3,18,10
Region XII (SOCCSKSARGEN),South Cotabato,Norala,PH126311000,10547,5730,3676,5,14,1022,0,2,13,6
Region XII (SOCCSKSARGEN),South Cotabato,Polomolok,PH126312000,36485,25114,9316,41,70,1486,16,7,38,28
Region XII (SOCCSKSARGEN),South Cotabato,Surallah,PH126313000,20147,10238,7461,7,40,2292,1,0,10,3
Region XII (SOCCSKSARGEN),South Cotabato,Tampakan,PH126314000,9391,4013,4198,49,29,874,4,0,4,4
Region XII (SOCCSKSARGEN),South Cotabato,Tantangan,PH126315000,10374,4779,3132,3,40,2353,0,0,3,0
Region XII (SOCCSKSARGEN),South Cotabato,T'Boli,PH126316000,21289,4769,10473,25,89,5754,8,1,13,23
Region XII (SOCCSKSARGEN),South Cotabato,Tupi,PH126317000,16548,7776,5939,10,86,2561,3,0,4,5
Region XII (SOCCSKSARGEN),South Cotabato,Santo Ni̱o,PH126318000,9594,5593,3180,9,15,620,7,1,5,11
Region XII (SOCCSKSARGEN),South Cotabato,Lake Sebu,PH126319000,18513,2094,11313,15,41,4973,3,0,8,15
Region XII (SOCCSKSARGEN),Sultan Kudarat,Bagumbayan,PH126501000,15385,4913,7357,3,70,2962,0,0,3,3
Region XII (SOCCSKSARGEN),Sultan Kudarat,Columbio,PH126502000,8111,1760,1559,5,48,4707,8,2,1,6
Region XII (SOCCSKSARGEN),Sultan Kudarat,Esperanza,PH126503000,15756,6830,4608,9,71,3986,6,0,3,5
Region XII (SOCCSKSARGEN),Sultan Kudarat,Isulan (Capital),PH126504000,20220,12287,5421,30,123,2102,4,2,4,9
Region XII (SOCCSKSARGEN),Sultan Kudarat,Kalamansig,PH126505000,10664,1493,5249,9,23,3803,18,0,6,3
Region XII (SOCCSKSARGEN),Sultan Kudarat,Lebak,PH126506000,20319,4832,8259,7,97,6966,4,1,11,1
Region XII (SOCCSKSARGEN),Sultan Kudarat,Lutayan,PH126507000,13041,3380,2885,0,305,6424,2,0,2,1
Region XII (SOCCSKSARGEN),Sultan Kudarat,Lambayong (Mariano Marcos),PH126508000,17511,7867,4475,23,114,4858,38,2,56,5
Region XII (SOCCSKSARGEN),Sultan Kudarat,Palimbang,PH126509000,18993,2359,3842,3,153,12565,9,0,7,8
Region XII (SOCCSKSARGEN),Sultan Kudarat,President Quirino,PH126510000,9663,5641,2524,4,28,1383,0,0,7,2
Region XII (SOCCSKSARGEN),Sultan Kudarat,City of Tacurong,PH126511000,21588,14529,5395,11,44,1330,0,1,6,2
Region XII (SOCCSKSARGEN),Sultan Kudarat,Sen. Ninoy Aquino,PH126512000,11669,1284,6425,1,17,3830,4,0,5,39
Region XII (SOCCSKSARGEN),Sarangani,Alabel (Capital),PH128001000,17830,6134,5312,10,223,5982,6,0,7,8
Region XII (SOCCSKSARGEN),Sarangani,Glan,PH128002000,27955,5500,9739,3,191,12308,4,2,8,10
Region XII (SOCCSKSARGEN),Sarangani,Kiamba,PH128003000,13576,4933,3789,32,112,4543,13,2,6,7
Region XII (SOCCSKSARGEN),Sarangani,Maasim,PH128004000,13163,4211,3811,2,180,4836,2,0,6,7
Region XII (SOCCSKSARGEN),Sarangani,Maitum,PH128005000,10397,3503,2875,2,81,3858,2,0,2,1
Region XII (SOCCSKSARGEN),Sarangani,Malapatan,PH128006000,15831,3517,4965,16,35,7092,18,1,3,6
Region XII (SOCCSKSARGEN),Sarangani,Malungon,PH128007000,24508,5859,11070,7,81,7255,3,0,9,2
Region XII (SOCCSKSARGEN),Cotabato City (Not a Province),City of Cotabato,PH129804000,55987,25894,22730,68,200,6359,24,7,236,335
National Capital Region (NCR), Second District (Not a Province),City of Mandaluyong,PH137401000,93319,80952,11307,8,23,47,5,36,95,105
National Capital Region (NCR), Second District (Not a Province),City of Marikina,PH137402000,95305,89333,5566,29,17,54,0,40,51,137
National Capital Region (NCR), Second District (Not a Province),City of Pasig,PH137403000,175280,158041,16091,46,60,526,5,19,158,124
National Capital Region (NCR), Second District (Not a Province),Quezon City,PH137404000,660249,594966,59311,565,146,991,105,352,473,1302
National Capital Region (NCR), Second District (Not a Province),City of San Juan,PH137405000,26768,23306,2729,0,0,2,0,0,1,19
National Capital Region (NCR), Third District (Not a Province),City of Caloocan,PH137501000,353357,327470,23339,270,108,613,37,222,208,647
National Capital Region (NCR), Third District (Not a Province),City of Malabon,PH137502000,81724,64932,15421,123,58,615,12,56,163,237
National Capital Region (NCR), Third District (Not a Province),City of Navotas,PH137503000,56260,42611,12792,32,11,574,18,10,39,99
National Capital Region (NCR), Third District (Not a Province),City of Valenzuela,PH137504000,147161,134599,11917,84,34,197,6,20,61,116
National Capital Region (NCR), Fourth District (Not a Province),City of Las Pi̱as,PH137601000,137897,120456,15766,66,113,861,14,35,109,287
National Capital Region (NCR), Fourth District (Not a Province),City of Makati,PH137602000,148430,138830,9050,16,16,193,15,13,38,93
National Capital Region (NCR), Fourth District (Not a Province),City of Muntinlupa,PH137603000,115515,97791,15622,67,178,1161,38,51,140,199
National Capital Region (NCR), Fourth District (Not a Province),City of Para̱aque,PH137604000,159587,136392,21676,105,95,395,12,34,186,352
National Capital Region (NCR), Fourth District (Not a Province),Pasay City,PH137605000,101557,86968,14079,98,3,204,11,7,11,77
National Capital Region (NCR), Fourth District (Not a Province),Pateros,PH137606000,13393,11522,1687,13,4,64,0,6,75,16
National Capital Region (NCR), Fourth District (Not a Province),City of Taguig,PH137607000,192862,168730,21837,294,68,980,12,22,236,271
Cordillera Administrative Region (CAR),Abra,Bangued (Capital),PH140101000,10787,9253,1269,11,12,201,2,0,1,2
Cordillera Administrative Region (CAR),Abra,Boliney,PH140102000,758,391,349,1,1,7,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Bucay,PH140103000,3813,2952,720,4,3,97,1,0,1,0
Cordillera Administrative Region (CAR),Abra,Bucloc,PH140104000,435,257,163,0,1,5,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Daguioman,PH140105000,375,241,129,0,0,4,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Danglas,PH140106000,873,630,206,0,1,31,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Dolores,PH140107000,2484,1756,639,0,1,74,0,0,0,0
Cordillera Administrative Region (CAR),Abra,La Paz,PH140108000,3325,2322,862,26,4,66,0,0,1,2
