Mun_name,Mun_Code,mean_slope,mean_elevation_m,ruggedness_stdev,mean_ruggedness,slope_stdev,area_km2,poverty_perc,with_coast,coast_length,perimeter
ADAMS,PH012801000,16.83,558.75,39.76,84.41,8.54,111,10.10,0,,45998
BACARRA,PH012802000,2.13,23.80,12.14,12.05,2.49,55,2.07,1,4294,33314
BADOC,PH012803000,7.37,97.70,39.58,37.37,8.27,81,4.99,1,15821,64986
BANGUI,PH012804000,11.94,220.47,41.11,59.74,8.83,115,3.75,1,11813,52052
CITY OF BATAC,PH012805000,5.23,91.41,23.81,27.49,5.18,158,3.22,0,,66662
BURGOS,PH012806000,4.79,168.21,17.88,24.79,3.94,137,3.92,1,21356,55009
CARASI,PH012807000,20.40,764.76,43.44,102.12,9.22,173,3.96,0,,56959
CURRIMAO,PH012808000,3.14,33.06,12.04,16.74,2.67,33,3.37,1,17283,43150
DINGRAS,PH012809000,2.26,55.61,18.49,11.73,4.01,108,4.38,0,,55309
DUMALNEG,PH012810000,18.88,528.75,41.05,93.10,8.83,67,2.41,0,,40939
BANNA (ESPIRITU),PH012811000,3.64,105.54,20.91,18.77,4.57,91,4.50,0,,44708
LAOAG CITY (Capital),PH012812000,1.82,17.79,10.58,10.37,2.24,110,1.66,1,15711,53964
MARCOS,PH012813000,3.75,88.25,25.09,18.94,5.42,79,4.76,0,,46891
NUEVA ERA,PH012814000,20.23,667.49,49.91,102.56,10.25,609,6.03,0,,161085
PAGUDPUD,PH012815000,14.17,258.54,52.19,71.42,10.75,193,4.85,1,42005,85640
PAOAY,PH012816000,2.24,21.82,9.63,12.51,2.10,66,3.45,1,9648,58028
PASUQUIN,PH012817000,6.16,193.92,25.49,30.67,5.54,177,3.56,1,28081,70830
PIDDIG,PH012818000,7.08,172.30,33.21,35.94,7.16,124,3.44,0,,59617
PINILI,PH012819000,6.31,94.06,25.10,31.87,5.54,64,4.90,0,,45400
SAN NICOLAS,PH012820000,2.77,36.93,13.10,15.49,2.69,42,2.01,0,,29483
SARRAT,PH012821000,4.73,57.46,25.27,23.76,5.52,57,2.23,0,,33368
SOLSONA,PH012822000,4.63,118.83,32.82,23.41,6.89,90,3.34,0,,47312
VINTAR,PH012823000,14.62,394.56,42.11,72.59,9.11,531,3.01,0,,105733
ALILEM,PH012901000,21.70,566.71,60.66,110.88,11.35,115,9.01,0,,50146
BANAYOYO,PH012902000,7.03,87.29,21.22,36.23,4.75,25,5.03,0,,24941
BANTAY,PH012903000,9.32,167.26,54.03,47.20,10.95,75,2.28,0,,45270
BURGOS,PH012904000,8.79,132.95,30.84,44.29,6.80,51,4.13,0,,31434
CABUGAO,PH012905000,9.27,208.46,46.58,46.68,9.67,112,4.53,1,14721,50242
CITY OF CANDON,PH012906000,3.48,44.04,20.38,18.44,4.28,78,2.66,1,10551,62247
CAOAYAN,PH012907000,0.63,4.13,2.27,4.31,0.42,18,3.30,1,8964,26304
CERVANTES,PH012908000,18.49,857.35,58.08,94.35,11.22,243,8.11,0,,63152
GALIMUYOD,PH012909000,8.52,146.22,32.82,43.77,7.06,34,5.09,0,,32802
GREGORIO DEL PILAR (CONCEPCION),PH012910000,18.78,537.11,48.07,93.36,9.71,54,8.70,0,,32723
LIDLIDDA,PH012911000,11.14,155.15,30.80,56.64,6.78,34,7.19,0,,23230
MAGSINGAL,PH012912000,6.56,133.51,44.07,33.12,9.00,83,4.99,1,14907,48289
NAGBUKEL,PH012913000,9.10,138.02,28.97,45.31,6.47,42,8.06,0,,32079
NARVACAN,PH012914000,6.29,62.66,31.47,31.97,6.76,103,3.33,1,10851,62031
QUIRINO (ANGKAKI),PH012915000,16.16,606.76,43.88,80.18,9.14,183,8.35,0,,62107
SALCEDO (BAUGEN),PH012916000,14.25,271.14,48.33,71.52,9.87,83,6.73,0,,41568
SAN EMILIO,PH012917000,13.39,407.57,30.87,65.95,6.93,152,7.52,0,,53062
SAN ESTEBAN,PH012918000,6.11,46.00,20.08,31.26,4.42,17,2.92,1,7630,21757
SAN ILDEFONSO,PH012919000,0.67,13.10,2.13,4.50,0.43,12,2.21,0,,20011
SAN JUAN (LAPOG),PH012920000,7.06,138.25,40.75,35.47,8.38,69,3.68,1,77,43875
SAN VICENTE,PH012921000,0.61,5.66,2.20,4.16,0.43,13,2.62,1,2931,23002
SANTA,PH012922000,8.89,109.09,50.63,44.88,10.32,59,2.51,1,14121,52088
SANTA CATALINA,PH012923000,0.58,4.81,1.76,3.84,0.38,9,2.24,1,5317,16863
SANTA CRUZ,PH012924000,6.92,93.19,32.32,34.89,6.89,92,3.88,1,12269,40564
SANTA LUCIA,PH012925000,2.64,27.03,14.64,14.39,3.05,44,5.06,1,5993,31816
SANTA MARIA,PH012926000,4.08,36.45,25.11,21.24,5.34,57,2.72,1,6740,41220
SANTIAGO,PH012927000,7.10,66.58,22.81,35.62,5.15,48,4.30,1,12273,34613
SANTO DOMINGO,PH012928000,2.63,41.68,18.17,13.42,4.04,49,3.02,1,4700,39137
SIGAY,PH012929000,20.38,820.39,46.63,101.99,9.43,92,10.85,0,,40065
SINAIT,PH012930000,5.99,80.43,27.94,30.69,6.01,69,3.50,1,11196,37972
SUGPON,PH012931000,21.27,553.47,86.70,113.59,12.44,106,7.92,0,,64605
SUYO,PH012932000,19.19,474.24,55.95,97.86,10.81,164,8.25,0,,55988
TAGUDIN,PH012933000,4.26,46.79,30.54,22.09,6.32,59,4.57,1,9137,37922
CITY OF VIGAN (Capital),PH012934000,0.91,8.81,4.49,5.76,0.95,24,2.15,1,2411,25116
AGOO,PH013301000,4.93,51.48,28.40,25.64,5.98,48,3.96,1,10118,33018
ARINGAY,PH013302000,9.06,152.41,33.47,44.65,7.35,97,5.28,1,7853,57269
BACNOTAN,PH013303000,6.78,77.88,30.33,34.01,6.53,76,3.21,1,12581,39315
BAGULIN,PH013304000,17.22,446.45,42.74,85.11,8.85,91,8.95,0,,47383
BALAOAN,PH013305000,4.21,61.92,22.02,21.68,4.78,62,4.13,1,5010,47181
BANGAR,PH013306000,2.33,26.69,17.94,12.70,3.79,35,5.24,1,5005,27165
BAUANG,PH013307000,6.03,63.32,25.21,31.17,5.53,76,2.86,1,16710,39759
BURGOS,PH013308000,16.27,378.41,39.95,80.79,8.25,36,6.63,0,,38616
CABA,PH013309000,7.97,90.96,24.87,40.84,5.56,47,4.50,1,4994,28822
LUNA,PH013310000,2.09,15.31,14.43,11.31,3.14,41,3.75,1,10813,34335
NAGUILIAN,PH013311000,8.24,108.69,31.28,42.00,6.69,103,2.86,0,,50565
