gridid,glat,glon
PH012801000,18.453,120.919
PH012802000,18.267,120.613
PH012803000,17.906,120.509
PH012804000,18.490,120.750
PH012805000,18.038,120.584
PH012806000,18.480,120.649
PH012807000,18.219,120.865
PH012808000,18.011,120.500
PH012809000,18.077,120.721
PH012810000,18.477,120.839
PH012811000,17.967,120.655
PH012812000,18.195,120.577
PH012813000,18.025,120.695
PH012814000,17.982,120.781
PH012815000,18.563,120.863
PH012816000,18.085,120.519
PH012817000,18.371,120.639
PH012818000,18.180,120.750
PH012819000,17.948,120.543
PH012820000,18.146,120.595
PH012821000,18.135,120.647
PH012822000,18.101,120.792
PH012823000,18.328,120.783
PH012901000,16.893,120.578
PH012902000,17.246,120.493
PH012903000,17.598,120.452
PH012904000,17.314,120.515
PH012905000,17.788,120.496
PH012906000,17.193,120.465
PH012907000,17.499,120.392
PH012907000,17.507,120.399
PH012907000,17.536,120.391
PH012908000,16.990,120.708
PH012909000,17.188,120.514
PH012910000,17.152,120.612
PH012911000,17.259,120.532
PH012912000,17.683,120.452
PH012913000,17.440,120.551
PH012914000,17.447,120.501
PH012915000,17.123,120.711
PH012916000,17.120,120.549
PH012917000,17.240,120.608
PH012918000,17.325,120.453
PH012919000,17.619,120.406
PH012920000,17.763,120.408
PH012920000,17.773,120.426
PH012920000,17.733,120.479
PH012921000,17.612,120.367
PH012922000,17.510,120.408
PH012922000,17.518,120.443
PH012923000,17.586,120.356
PH012924000,17.056,120.483
PH012925000,17.126,120.471
PH012926000,17.367,120.497
PH012927000,17.273,120.449
PH012928000,17.644,120.420
PH012929000,17.056,120.605
PH012930000,17.859,120.488
PH012931000,16.779,120.559
PH012932000,16.979,120.556
PH012933000,16.938,120.462
PH012934000,17.547,120.353
PH012934000,17.563,120.388
PH013301000,16.326,120.372
PH013302000,16.410,120.404
PH013303000,16.770,120.331
PH013303000,16.784,120.330
PH013303000,16.744,120.374
PH013304000,16.609,120.475
PH013305000,16.806,120.401
PH013306000,16.880,120.432
PH013307000,16.513,120.346
PH013308000,16.532,120.470
PH013309000,16.440,120.377
PH013310000,16.839,120.376
PH013311000,16.527,120.414
PH013312000,16.313,120.481
PH013313000,16.245,120.459
PH013314000,16.654,120.318
PH013314000,16.654,120.318
PH013314000,16.608,120.358
PH013315000,16.684,120.470
PH013316000,16.670,120.371
PH013317000,16.273,120.398
PH013318000,16.751,120.492
PH013319000,16.847,120.492
PH013320000,16.344,120.426
PH015501000,16.102,119.804
PH015502000,15.837,120.215
PH015503000,16.184,120.048
PH015503000,16.189,120.050
PH015503000,16.190,120.040
PH015503000,16.191,120.049
PH015503000,16.192,120.048
PH015503000,16.193,120.046
PH015503000,16.194,120.040
PH015503000,16.195,120.047
PH015503000,16.195,120.044
PH015503000,16.194,120.032
PH015503000,16.196,120.032
PH015503000,16.195,120.037
PH015503000,16.196,120.046
PH015503000,16.197,120.039
PH015503000,16.196,120.042
PH015503000,16.199,120.041
PH015503000,16.198,120.041
PH015503000,16.2000,120.028
PH015503000,16.2000,120.029
PH015503000,16.199,120.037
PH015503000,16.2000,120.037
PH015503000,16.203,120.049
PH015503000,16.204,120.050
PH015503000,16.205,120.048
PH015503000,16.204,120.047
PH015503000,16.204,120.031
PH015503000,16.205,120.042
PH015503000,16.199,120.032
PH015503000,16.202,120.030
PH015503000,16.205,120.038
PH015503000,16.206,120.050
PH015503000,16.206,120.048
PH015503000,16.207,120.044
PH015503000,16.209,120.001
PH015503000,16.209,120.000
PH015503000,16.209,119.997
PH015503000,16.209,120.039
PH015503000,16.210,120.051
PH015503000,16.211,120.046
PH015503000,16.209,120.050
PH015503000,16.209,120.047
PH015503000,16.210,120.034
PH015503000,16.210,120.048
PH015503000,16.208,120.041
PH015503000,16.208,120.048
PH015503000,16.152,119.978
PH015503000,16.211,120.048
PH015503000,16.211,120.043
PH015503000,16.211,120.047
PH015503000,16.210,120.041
PH015503000,16.212,120.051
PH015503000,16.212,120.047
PH015503000,16.212,120.046
PH015503000,16.213,120.031
PH015503000,16.213,120.049
PH015503000,16.213,120.048
PH015503000,16.214,120.032
PH015503000,16.214,120.032
PH015503000,16.214,120.032
PH015503000,16.214,120.032
PH015503000,16.213,120.040
PH015503000,16.214,120.036
PH015503000,16.217,120.043
PH015503000,16.218,120.038
PH015503000,16.215,120.040
PH015503000,16.214,120.042
PH015503000,16.213,120.037
PH015503000,16.215,120.045
PH015503000,16.216,120.043
PH015503000,16.219,120.048
PH015503000,16.219,120.051
PH015503000,16.221,120.049
PH015503000,16.223,120.042
PH015503000,16.224,120.054
PH015503000,16.223,120.046
PH015503000,16.224,120.052
PH015503000,16.224,120.053
PH015503000,16.222,120.050
